3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram
должна была бы	3	2
том что здесь	2	2
на то что	4	3
во всяком случае	6	4
о том что	11	4
тем что в	2	2
но все же	3	2
заключается в том	3	2
не в том	2	3
тем более что	2	2
по крайней мере	2	4
в том что	17	11
в то время	2	4
что в этой	2	2
не только в	4	3
в этом отношении	7	4
и в этом	3	2
в то же	4	3
во время чумы	2	2
с точки зрения	8	4
тем не менее	2	2
но и в	2	2
в этой области	5	2
с другой стороны	6	4
по этому поводу	2	2
то обстоятельство что	2	5
и т п	9	6
с одной стороны	2	2
в борисе годунове	2	38
к борису годунову	2	2
и т д	21	2
бориса годунова в	2	2
не может быть	5	5
в том смысле	2	2
то же время	4	3
до сих пор	7	2
