2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_2gram
о мире	5	8
никогда не	17	4
на них	2	7
в нем	20	16
всего этого	3	3
так же	5	7
можно было	2	2
друг к	3	3
его в	3	4
к нему	11	13
так и	3	8
в своей	6	4
и вы	2	2
это не	3	3
для достоевского	4	2
с точки	9	2
переходит в	2	2
прежде всего	11	12
в ее	3	3
и он	3	2
в форме	2	3
но это	2	6
в одной	5	3
не о	2	4
и в	45	35
но не	6	6
то есть	50	16
тот же	2	4
для него	9	14
отношение к	8	6
у него	6	4
как к	2	5
при этом	2	2
и внутренне	2	2
все это	5	14
связан с	2	2
подобно тому	2	2
в чужих	2	2
и слово	6	8
и с	7	12
но на	2	4
уже в	4	3
их в	7	2
про себя	3	2
герой не	2	2
и как	2	2
того что	3	3
точки зрения	19	7
не менее	2	2
себя в	2	2
в чем	2	4
тому как	2	2
в своем	5	2
в голове	2	2
так сказать	7	2
что он	7	24
так что	2	5
не знает	4	6
так чтобы	2	4
протяжении всего	2	4
в большинстве	2	2
из подполья	4	35
романах достоевского	6	4
нет и	3	4
вступает в	4	2
что они	3	6
то же	5	15
в целом	5	3
словом о	2	2
переходим к	2	4
в диалоге	3	3
а что	2	2
как бы	15	31
им в	4	2
на протяжении	3	5
что в	6	6
произведениях достоевского	4	2
уже не	6	3
мы остановимся	2	3
в этом	20	14
должно быть	4	3
братьях карамазовых	2	3
и самое	2	2
в жизни	3	2
этом смысле	5	3
его и	3	3
героя и	7	10
лишь в	2	7
с которыми	2	2
здесь в	2	2
героя в	5	5
но как	2	4
себе самом	3	5
лежит в	2	2
к другу	3	3
в мире	3	4
еще не	9	7
в то	5	11
и для	2	8
так как	5	4
иной степени	2	2
как раз	6	4
и у	2	4
с другими	7	2
но уже	2	2
точек зрения	3	2
было бы	4	3
в самом	13	6
смысле этого	2	2
и прежде	2	4
он как	3	4
таким образом	11	7
а в	3	7
дело идет	6	3
образа героя	2	3
его целом	3	2
у достоевского	14	12
ни одного	3	9
за собой	2	3
действующими лицами	2	2
вовсе не	7	7
и т.п	6	6
как мы	8	8
о них	2	2
все эти	4	3
например в	2	2
он и	4	5
всего романа	2	2
и т.д	3	3
нет ни	3	2
всем этим	2	2
конце концов	3	3
слово о	6	7
достоевского в	4	3
во всех	4	3
о нем	6	2
не в	8	10
друг с	2	4
конечно в	2	2
отношению к	8	7
но только	2	3
но все	4	4
этого слова	2	5
сознания и	6	4
и не	42	27
за пределы	5	3
в произведении	5	2
даже в	6	5
ни в	2	2
может быть	18	14
его с	2	5
на него	2	5
показать что	2	2
одного сознания	6	3
мире достоевского	6	3
достоевского как	5	2
конечно не	6	2
даже и	2	3
мы можем	4	2
в одном	6	6
о том	3	2
большинстве случаев	2	2
в произведениях	3	2
о себе	3	17
не как	6	3
я и	3	2
и к	2	12
я не	6	8
что у	4	6
в себе	5	5
мы должны	4	3
но ведь	3	2
завершенный образ	2	2
ивана карамазова	4	4
и со	2	3
что не	5	4
но и	15	14
бы в	5	4
себя и	2	8
только в	9	6
в дальнейшем	2	2
уже говорили	2	5
для этого	3	2
чужое слово	3	6
что же	4	7
жизнь и	3	2
из них	9	3
как он	4	2
обращено к	3	2
и сам	3	7
достоевского это	2	3
что и	5	3
в этих	4	2
как в	4	5
или иной	3	4
него нет	3	2
слово в	3	2
то что	5	10
как и	14	18
можем сказать	2	2
мы видели	3	2
потому что	8	8
бы не	3	2
что все	3	2
достоевского и	2	2
в которой	2	2
в каждом	4	6
это как	2	3
сознание и	4	2
с другом	2	4
рядом с	3	4
в братьях	2	3
он сам	6	6
это было	2	2
и его	8	14
в пределах	4	11
до конца	7	4
самом деле	4	10
с ними	4	5
не может	24	18
он не	9	13
сливается с	4	4
в его	22	21
с ним	8	7
с его	8	7
с самим	2	15
в той	3	4
том что	7	3
по себе	8	4
не только	16	10
он уже	2	3
мы уже	3	8
одной из	2	2
а как	4	2
в них	4	4
и мир	5	2
слово и	2	2
в виду	2	3
тем что	2	4
той или	3	4
а не	10	4
у меня	3	6
хотя и	2	2
и даже	3	5
кажется что	2	2
как его	2	3
самого героя	2	3
в кругозор	2	2
диалог в	2	2
бы он	2	2
бы и	3	2
же время	3	10
и на	7	6
в ней	7	2
есть только	4	2
в рассказе	3	2
героев достоевского	4	3
он есть	2	2
в сторону	2	2
с ее	3	3
только что	2	3
человек из	2	7
в котором	7	3
по отношению	8	6
быть в	2	2
в конце	4	5
для себя	3	7
в романах	8	5
хотя бы	5	2
или в	2	2
те же	2	2
в диалогах	2	4
все его	3	4
ничего не	3	3
слова в	4	6
в начале	2	3
все время	3	4
и по	2	2
среди других	2	2
человека как	2	2
там где	6	7
увидеть и	2	2
в том	8	5
а с	3	3
человека с	2	3
тотчас же	2	4
и что	2	6
но в	6	19
на его	5	4
от него	3	6
и от	3	3
и вот	2	4
друг друга	7	2
в сущности	7	14
не хочу	2	4
к герою	5	8
сказать что	5	3
все же	4	8
и голос	2	5
