3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram
в конце концов	3	4
героя и его	2	2
во всяком случае	4	3
в мире достоевского	3	4
записок из подполья	3	3
в отличие от	2	2
в его целом	2	5
о себе самом	5	6
к нему и	4	2
друг с другом	4	3
на самом деле	9	3
бы то ни	3	3
по отношению к	6	11
человек из подполья	7	3
в том что	2	7
как мы уже	2	2
подобно тому как	2	3
но в то	4	2
и в этом	2	3
в большинстве случаев	2	2
в романах достоевского	4	6
в то же	10	7
с точки зрения	2	15
с самого начала	8	2
же время не	3	2
человека из подполья	13	3
и в то	2	3
с другой стороны	3	2
можно было бы	2	3
не может быть	3	3
и не может	2	2
самого героя и	2	3
именно потому что	2	2
в этом смысле	3	9
в творчестве достоевского	4	4
то же время	10	7
в произведениях достоевского	2	2
то ни было	3	2
