2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram
своей трагедии	4	12
между тем	6	5
пушкина он	2	3
он был	3	2
связи с	3	4
что такое	7	2
карамзина в	3	3
пушкин говорит	4	4
время пушкин	2	2
пушкин писал	3	4
никогда не	2	3
что это	16	3
не на	2	2
на почве	5	2
как на	6	9
борисе годунове	40	32
так и	5	9
об этом	5	6
несмотря на	3	2
в своей	4	7
речь идет	2	4
с точки	4	2
и всегда	2	2
прежде всего	10	5
но это	4	3
пушкина к	11	5
была не	2	2
со стороны	3	2
драматический язык	2	2
в одной	2	2
и в	25	29
не потому	2	2
но не	2	3
в русской	6	5
которую он	2	2
вместе с	2	7
если бы	4	2
в келье	2	3
утверждать что	2	2
к тому	2	10
в качестве	4	5
для пушкина	13	21
что пушкин	11	15
должна была	4	2
и т	8	9
для него	3	4
должен был	2	4
другой стороны	5	3
все это	8	11
языке бориса	5	2
времени и	2	4
пушкина не	3	6
связь с	4	2
связан с	3	3
другое дело	3	3
о которых	3	2
в результате	2	2
борис годунов	26	28
с этим	7	3
и с	4	4
пушкина была	2	5
трагедии пушкин	2	3
интересно что	6	3
самого начала	2	3
его трагедии	7	8
в устах	4	2
того что	5	5
точки зрения	7	5
том смысле	2	2
пушкина это	8	2
пушкина о	2	2
пушкиным в	6	14
в отношении	2	2
не менее	2	3
что он	19	13
что борис	2	4
феодора иоанновича	2	2
так что	11	3
была бы	4	5
что эта	2	3
тем не	2	2
обстоятельство что	5	4
нет и	2	2
драматической литературы	2	2
что они	2	2
с тем	4	7
то же	5	2
в чисто	2	2
к этому	3	4
нельзя не	3	3
как бы	6	5
а также	4	2
сих пор	2	5
что в	19	19
в этом	24	21
предисловии к	2	2
в году	5	3
не мог	2	3
борьба с	2	2
того же	2	2
кроме того	3	4
в это	2	2
пушкина и	6	9
в языке	8	5
в их	3	3
в духе	2	2
xix века	4	3
как например	8	2
русской истории	2	3
в то	7	2
т е	8	10
так как	3	2
у пушкина	22	12
борисом годуновым	10	10
как раз	3	8
в статье	2	2
было бы	7	5
в рукописи	4	2
то обстоятельство	5	4
в самом	2	7
г пушкин	2	2
нет никакого	3	2
и др	4	2
в речи	4	4
годунова не	3	6
таким образом	10	10
в печатном	4	4
ее в	2	2
своего рода	3	5
до сих	2	6
на нее	2	3
к сожалению	2	2
у карамзина	7	4
борису годунову	3	3
по этому	3	2
действующие лица	3	3
на то	5	2
вовсе не	2	6
что я	3	2
на вопрос	3	3
свою трагедию	3	12
все эти	3	2
например в	4	3
в сцене	6	7
трагедии пушкина	12	22
в некоторых	3	2
здесь пушкин	5	2
не столько	2	7
внимание на	2	4
это был	2	2
т п	6	3
пушкин хотел	3	2
между прочим	3	12
сочинений пушкина	2	5
о борисе	2	3
печатном издании	2	3
не в	6	4
пушкин в	10	5
самого пушкина	8	3
у нас	4	3
самозванца в	2	2
но все	2	7
такого рода	5	2
но также	2	4
и не	10	9
может быть	19	2
трагедии не	3	3
пушкина на	4	4
вот что	3	3
ни в	5	3
смотрел на	3	3
такое же	2	2
афанасия пушкина	2	3
б в	3	2
в трагедии	6	17
у шекспира	5	4
о том	8	17
из его	7	2
в этой	14	2
в россии	6	3
при помощи	2	4
и к	4	4
над борисом	7	5
с самого	2	3
трагедии в	3	4
пушкина как	13	3
что у	2	4
этом отношении	4	9
только в	6	2
но и	9	19
в другом	3	4
не является	3	3
дело не	2	2
работы над	2	4
была напечатана	2	2
не имеет	2	2
орлеанская дева	3	2
бориса годунова	34	74
и более	3	2
в этих	11	3
в корчме	2	3
для того	2	7
как в	6	3
он писал	2	3
то что	12	11
как и	4	2
т д	2	6
потому что	5	9
нас не	2	2
из трагедии	2	3
в течение	4	6
в которой	4	11
в борисе	39	28
в особенности	4	2
в области	6	2
от карамзина	2	2
и это	5	2
и здесь	3	3
что этот	3	2
трагедия была	2	2
и пр	13	8
с этой	3	2
отметить что	5	2
и его	3	6
это было	8	2
подчеркнуть что	3	3
до конца	3	3
самом деле	2	3
царем и	2	3
это слово	3	3
он не	5	9
годунов говорит	2	3
не может	7	2
в г	12	7
в его	12	13
трагедия пушкина	2	5
с его	3	2
не только	12	19
к борису	2	3
том что	15	27
и народом	2	2
пушкина в	21	18
одной из	2	3
во время	3	2
а как	4	4
в каком	4	2
в них	5	2
своего времени	2	4
в словаре	2	2
того времени	3	4
действующих лиц	4	4
в виду	2	7
академического издания	2	4
тем что	19	3
а не	5	5
раньше чем	3	4
годунова в	2	4
в ней	4	7
годунова а	3	2
не был	2	3
на это	2	2
и на	6	6
что именно	2	2
пушкин не	9	12
в общем	4	3
во всяком	4	3
тому что	3	7
пушкина но	3	4
между царем	2	3
не было	4	3
г в	6	5
его как	3	2
только что	2	2
в котором	5	7
этому поводу	2	2
в конце	6	2
пушкина с	5	7
пушкинской трагедии	2	10
ничего не	4	4
в начале	4	3
года в	2	3
но они	2	2
во многом	2	2
годунова как	2	3
всяком случае	4	3
в том	20	27
в предисловии	2	3
в эту	4	3
а с	2	3
но в	5	8
пушкин и	3	9
и что	3	6
годунова и	3	6
на его	4	2
с другой	5	4
но он	3	3
и по	2	3
сказать что	4	2
все же	4	6
его не	2	3
в какой	3	2
