3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part3_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part5_wordlist_3gram
и прежде всего	3	3
для того чтобы	6	3
в отличие от	2	3
в романе рабле	7	15
на самом деле	4	3
в эпоху рабле	3	6
в четвертой книге	3	4
как мы видели	4	2
но вернемся к	2	2
в этом отношении	5	2
но в то	5	4
мы уже говорили	2	3
в то же	9	6
в данном случае	2	2
можно сказать что	2	2
можно было бы	2	2
том числе и	2	2
в связи с	5	4
не может быть	2	2
жизни и смерти	2	2
а также и	4	3
то же время	9	6
еды и питья	9	2
до сих пор	3	4
в том числе	4	3
