2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram
между тем	5	3
в монологическом	5	2
ни было	2	2
и ее	2	3
далеко не	3	4
и этим	3	3
этого самосознания	2	2
никогда не	3	9
в художественном	3	3
наконец в	2	3
так же	6	2
достоевского нет	3	2
в нем	19	12
не на	4	4
можно было	2	3
если же	3	4
его в	6	3
к нему	6	5
так и	7	3
со всею	2	3
в своей	8	4
это не	9	3
для достоевского	5	3
с точки	13	8
художественного замысла	2	2
прежде всего	7	10
из одного	4	4
но это	4	4
в форме	7	2
раз и	4	2
в одной	6	3
нами в	2	2
их мирами	4	2
и в	29	43
одна из	3	2
но не	9	5
в процессе	4	2
если бы	9	3
но эти	2	4
тот же	2	3
в человеке	3	3
она не	7	3
и т	4	13
перед нами	5	7
для него	18	8
входит в	7	2
отношение к	2	2
другой стороны	3	3
все это	6	5
при этом	2	6
у него	5	6
достоевский не	3	2
себя как	2	3
не входит	3	2
и старается	2	2
в результате	4	4
этот вопрос	2	4
момент его	2	2
с этим	2	2
художественного творчества	3	2
и с	4	5
уже в	3	2
достоевского не	12	3
достоевского становится	3	2
и как	7	2
а лишь	2	2
себе еще	2	2
в отношении	2	3
точки зрения	19	13
отношения к	3	2
они могут	2	2
же и	2	4
что он	8	13
так чтобы	4	4
так что	2	5
не знает	3	3
так сказать	4	6
в своем	8	4
была бы	3	2
в большинстве	2	9
слова но	2	2
из подполья	10	2
герой достоевского	8	2
романах достоевского	5	2
есть и	2	3
то же	14	8
в целом	6	2
как бы	19	22
и нет	2	4
между ними	2	4
сих пор	2	7
что в	8	4
произведениях достоевского	5	4
сочетания голосов	2	2
уже не	13	3
достоевского он	2	2
творчестве достоевского	5	3
в этом	22	13
в которых	2	2
должно быть	4	4
на себе	2	2
одной плоскости	5	2
в жизни	2	3
этом смысле	10	2
отличается от	3	2
его и	2	2
героя и	10	5
и самое	3	2
должна быть	5	3
его художественного	3	3
кроме того	3	3
или как	5	4
героя в	4	3
для автора	2	2
никак не	2	5
себе самом	9	3
него в	2	3
той же	5	3
в их	3	3
от них	2	2
и о	5	2
еще не	5	9
в то	10	7
т е	21	26
и для	4	3
так как	6	4
чужого сознания	2	2
как раз	6	4
точек зрения	3	4
было бы	5	5
с их	5	2
романе достоевского	7	2
в самом	10	7
же не	2	4
авторского слова	8	2
и др	5	2
европейского романа	2	2
автора как	3	2
и до	3	4
таким образом	12	5
а в	7	5
в первой	2	2
у достоевского	16	14
его творчества	3	2
до сих	2	7
ни одного	2	4
не укладывается	2	3
сознании и	2	2
авторским словом	2	3
него не	2	2
достоевского но	6	3
то и	2	2
в творчестве	5	2
вопрос о	2	2
как мы	4	10
например в	3	2
он и	5	3
вовсе не	7	5
произведений достоевского	6	2
его к	2	2
все эти	9	5
не могут	6	4
достоевского в	12	4
конце концов	5	2
слово о	7	4
в романе	9	3
т п	3	9
о нем	9	6
не в	7	11
друг с	2	4
но эта	4	2
в плоскости	4	2
отношению к	8	5
но все	5	2
сознания и	5	3
себе и	3	4
себе самому	3	4
лишь как	7	2
и не	31	29
за пределы	7	3
в произведении	4	4
человека в	4	4
даже в	4	3
может быть	24	23
в себя	3	3
на него	3	3
автора и	5	2
и наконец	4	6
ни в	3	2
одного сознания	9	2
мире достоевского	7	2
с собою	2	2
достоевского как	9	2
конечно не	2	2
большинстве случаев	2	8
о себе	12	7
к себе	2	7
в одном	10	12
не во	3	2
из его	2	2
в произведениях	3	3
более того	5	4
героя но	2	2
не как	14	6
по существу	3	3
и к	2	3
я не	3	4
нам кажется	2	5
то перед	2	6
в себе	7	5
как же	4	2
от автора	3	3
ивана карамазова	4	2
и со	2	3
только в	10	4
бы в	3	5
себя и	2	3
но и	14	14
отношении к	3	2
для понимания	2	2
чужое слово	2	45
что же	4	7
сказать что	3	2
по своим	2	3
и сам	2	7
что было	4	2
что и	4	3
как в	6	2
слово в	2	8
вне его	2	2
то что	15	7
как и	12	14
достоевского и	7	2
на почве	3	2
у тургенева	2	4
в каждом	8	11
зрения и	2	3
сознание и	5	2
и это	5	4
рядом с	14	5
достоевский в	6	4
и пр	3	2
он сам	3	3
и здесь	3	3
и его	14	8
самом деле	6	5
до конца	8	4
к другому	2	5
не может	12	18
он не	5	9
здесь с	3	2
в его	24	10
сливается с	6	2
не есть	2	2
в той	2	5
с ним	5	3
с его	9	4
не только	15	11
по себе	8	11
том что	7	2
мы уже	2	3
слова героя	2	2
на этот	2	4
на себя	2	2
на материале	3	2
а как	7	4
в них	3	4
в своих	3	2
уже и	2	2
могут быть	6	3
тем что	4	3
а не	22	7
их в	4	4
в единстве	6	3
и даже	2	3
кажется что	2	3
бы он	2	2
бы и	4	2
чужое сознание	2	3
же время	9	5
он есть	4	2
и на	7	10
во всяком	5	2
самим собою	2	5
и следовательно	4	3
слово героя	7	3
ведь это	2	2
по отношению	8	5
в котором	2	6
в самой	6	4
в конце	6	2
для себя	2	2
мысли и	5	2
в романах	7	3
хотя бы	2	2
лишь на	3	2
как слово	3	2
все его	3	2
ничего не	5	3
одного куска	2	2
героя с	3	3
там где	10	4
превращается в	4	2
в том	8	6
но в	7	10
другого человека	4	4
здесь мы	2	2
что может	2	2
и что	2	5
с другой	3	4
но он	2	4
в сущности	5	9
в пределах	13	16
все же	9	3
человек и	2	2
приводит к	3	6
