2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram
связи с	3	4
никогда не	8	4
их развития	5	2
так же	15	14
друг другу	2	3
в меру	2	7
к общему	2	2
в данном	2	5
к тому	10	7
для нас	2	2
по сравнению	15	9
у ребенка	13	9
перехода от	9	4
процессы развития	2	2
с этим	4	2
этот период	2	2
самого начала	7	7
точки зрения	13	28
того как	5	2
отношения к	3	2
же самое	6	5
в психологии	3	2
не совпадает	2	3
что они	2	10
в целом	3	5
как бы	11	6
что в	17	12
привело нас	4	3
слова к	2	5
отличается от	3	3
той же	4	8
нас к	4	6
с другими	2	3
иначе как	5	6
было бы	9	6
во второй	2	5
только на	2	3
таким образом	18	23
а в	2	2
форм и	2	2
что если	2	2
очевидно что	3	3
когда ребенок	3	2
речь в	2	4
но только	2	3
отношению к	10	5
точку зрения	2	2
у нас	2	2
значений в	3	3
и другое	2	3
с помощью	13	13
в себе	4	9
которые в	4	2
является не	2	2
только в	18	8
имеет место	2	4
не имеет	6	2
само собой	2	2
в структуру	4	2
сравнению с	14	8
школьного возраста	3	8
и его	3	12
и только	3	4
мы пытались	2	8
до конца	3	5
нечто такое	2	2
не может	19	11
он не	7	3
и теоретически	2	2
могли бы	9	5
по себе	3	3
и тем	5	6
мысли в	4	9
нашего исследования	5	5
тем что	8	9
связи между	6	5
в новой	2	3
и следовательно	4	5
в котором	2	4
мысли и	2	11
в том	28	18
но в	5	4
но он	2	2
все же	2	6
приводит к	6	4
между двумя	2	3
о природе	2	7
относится к	4	2
для ребенка	6	2
по мере	3	7
семантической стороны	2	2
из этого	2	2
его в	6	2
так и	6	3
с точки	10	21
в одной	4	3
и в	28	26
вместе с	7	12
каждой ступени	8	2
оба эти	3	5
отношений общности	26	2
не совпадают	4	4
в качестве	4	5
она не	2	5
в такой	2	4
нас в	2	2
все это	2	3
то в	5	2
представить себе	3	3
в сознании	4	6
перейти к	2	4
что мы	11	9
что он	18	8
показывает что	7	2
этого понятия	3	2
а из	2	2
с несомненностью	4	2
развития как	3	2
нуждается в	3	3
с тем	5	5
детской речи	5	4
развития ребенка	4	5
в этом	27	29
своей природе	4	4
стороны речи	2	18
это есть	3	4
мы и	4	2
в их	3	2
к другу	4	2
в мышлении	6	2
но мы	3	3
еще не	8	4
в то	6	3
как раз	6	3
в самом	8	9
в ходе	3	12
мышления и	7	9
это и	3	4
могут не	2	2
ее в	2	8
до сих	3	3
об одном	2	2
письменной речи	7	3
во всех	4	6
связь между	4	6
и не	11	18
слово не	2	2
показать что	5	4
и наконец	2	4
мы можем	9	3
состоит в	2	3
с самого	7	7
именно поэтому	2	2
но и	10	11
бы в	3	5
разрыв между	2	2
не по	3	4
того чтобы	10	19
ребенка и	2	8
казалось бы	2	2
для того	8	18
где они	2	2
потому что	22	16
в которой	7	11
в пользу	2	4
только не	3	11
которых мы	2	2
ребенок в	7	2
что ребенок	13	5
к другому	4	3
в его	3	4
совершается в	3	3
бы сказать	2	2
чем в	2	4
одним из	2	2
с ним	2	3
в той	4	4
можно сказать	6	5
житейских понятий	12	2
во втором	3	3
тем самым	8	8
раз в	3	2
ребенка с	2	4
в своих	3	2
были бы	2	3
же как	6	8
мы не	6	7
одной и	3	2
этого слова	2	3
детского развития	3	6
в последнее	2	2
по отношению	10	6
мысли от	3	2
что на	4	2
исследования и	3	3
письменная речь	3	2
это мы	3	2
в нем	7	2
можно было	7	2
в своей	2	3
несмотря на	2	2
это не	5	3
мы нашли	3	5
прежде всего	2	7
в свете	5	4
но это	2	3
в уме	2	2
но если	4	2
но не	10	3
переходе от	5	3
если бы	7	5
для него	6	3
ребенка от	3	2
именно в	4	6
что оно	7	4
психологической природе	2	4
с житейскими	2	2
что с	3	5
так что	6	4
развития в	6	3
только по	4	3
представляет собой	3	19
в мысли	4	3
между ними	7	3
совпадает с	4	3
что то	3	2
детской мысли	11	2
из того	5	3
этом случае	2	14
развития научных	5	2
детского мышления	2	4
самом начале	4	3
и той	3	2
последнее время	2	3
как известно	7	2
вопрос о	5	6
по своему	2	9
отношение между	3	4
если мы	2	5
друг с	5	2
тогда когда	6	5
его мысли	3	2
мы видим	7	3
между собой	9	6
в первом	4	3
я не	4	3
мы должны	3	6
для этого	2	3
речи и	5	30
в этих	2	2
то что	28	24
мы видели	8	3
что все	5	2
в области	6	4
с другом	5	2
и здесь	3	2
с этой	2	5
заключается в	7	6
не только	16	24
том что	19	17
могут быть	5	2
мы могли	12	6
а не	3	6
первом случае	3	3
который мы	4	2
отношения между	4	4
на котором	2	3
речи как	2	6
между структурой	2	2
и от	2	4
друг друга	4	4
в сущности	7	9
в нашем	4	4
возможно только	3	2
сказать что	13	8
мы уже	2	3
к его	2	2
из этих	3	3
есть в	3	3
как на	3	6
речи в	2	27
которое мы	2	2
нами в	2	4
в процессе	9	5
в силу	17	5
научных понятий	40	2
остановиться на	3	2
моментов в	2	2
отношение к	7	2
системы понятий	3	3
в определенных	2	2
образом в	3	2
