3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
в конце концов	2	3
и в самом	2	2
на то что	16	8
в том и	2	2
для того чтобы	19	5
не в состоянии	3	3
и если мы	4	2
о том что	6	7
и таким образом	2	2
в отличие от	2	3
в сущности говоря	8	3
в зависимости от	6	5
одной и той	2	3
с таким образом	2	8
на самом деле	2	2
заключается в том	6	6
том что мы	2	2
легко показать что	2	2
все то что	2	3
мы видим что	3	2
в том что	14	9
вместе с тем	3	2
что в этом	6	3
мы никогда не	2	4
в этом отношении	3	2
в самом деле	5	7
не только не	4	3
с точки зрения	2	2
и той же	2	3
указывает на то	2	3
так же точно	5	3
то же самое	3	2
совершенно очевидно что	2	2
с другой стороны	5	5
по этому поводу	4	2
и т п	3	15
само по себе	2	5
потому что он	2	2
с одной стороны	12	5
и т д	3	8
мы увидим что	6	2
никак не может	3	2
не может быть	2	8
совершенно ясно что	5	14
по себе не	2	2
так же как	2	4
показывает что в	2	2
до сих пор	5	3
в том чтобы	2	7
состоит в том	2	2
когда говорит что	2	3
