3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram
и в самом	4	10
на то что	6	12
в свою очередь	2	2
во всяком случае	2	2
для того чтобы	13	8
о том что	4	3
в сущности говоря	4	7
и то что	2	3
поэтической и прозаической	2	3
на самом деле	5	2
заключается в том	10	6
не в том	2	2
то время как	2	2
мы видим что	2	7
только в том	4	2
в том что	17	11
к тому что	2	2
что в этой	2	2
в то время	3	2
все более и	2	2
в самом деле	11	18
с точки зрения	10	9
указывает на то	2	3
то же самое	6	8
в данном случае	4	2
с другой стороны	2	5
и т п	8	5
и т д	2	4
более и более	2	2
совершенно ясно что	6	5
до сих пор	5	5
