2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
поскольку в	3	2
для них	3	2
между тем	2	2
мы имеем	2	2
связи с	7	5
разного рода	4	6
никогда не	7	7
как будто	3	3
в нем	6	13
так же	5	9
можно было	2	3
есть в	2	5
его в	6	6
к нему	3	3
так и	7	12
об этом	4	10
больше чем	2	2
несмотря на	6	3
с точки	8	3
в своей	22	8
это не	2	6
прежде всего	6	10
в ее	3	3
свидетельствует о	2	3
раз и	2	9
в данном	2	9
как символ	9	6
и в	30	32
не будет	2	2
таком случае	2	6
но не	7	9
откуда и	2	2
вместе с	7	2
то есть	21	33
к тому	2	3
в качестве	4	2
данном случае	2	8
а потом	3	2
для нас	10	5
здесь не	7	7
нас в	4	2
именно в	3	4
другой стороны	6	3
тоже не	2	7
при этом	4	6
по крайней	4	2
в настоящее	3	3
перейти к	3	4
настоящее время	3	3
и делает	2	3
совсем не	3	4
мы будем	2	2
в результате	7	2
по поводу	2	4
и с	5	2
однако в	3	2
уже в	2	3
по его	2	2
да и	2	3
и как	6	6
поэтому и	2	2
гораздо более	4	2
того что	3	7
едва ли	4	2
того как	5	3
точки зрения	10	3
в символе	2	17
в отношении	3	3
не менее	5	19
в чем	2	3
что он	7	7
в своем	11	5
так что	11	6
тем не	5	18
но для	2	3
также и	12	11
с тем	5	5
что они	3	3
в таком	2	9
и является	2	7
то же	2	10
символ здесь	2	2
как бы	6	14
а также	3	4
сих пор	2	3
что в	5	12
и притом	5	4
оказывается что	4	2
уже не	6	3
в этом	17	19
и вполне	4	3
этом смысле	3	6
того же	4	3
кроме того	2	2
в это	2	2
здесь в	2	3
никак не	8	4
тех или	2	3
мы и	2	4
он в	3	2
дело в	2	3
и о	5	8
еще не	3	9
в то	4	6
и для	6	4
и вообще	9	4
так как	6	11
что иное	3	2
нисколько не	5	3
как раз	5	13
но уже	2	5
было бы	4	8
в самом	5	6
и до	2	2
таким образом	13	6
а в	6	4
этого символа	2	2
ее в	2	2
как именно	4	2
или вернее	3	3
до сих	2	3
подобного рода	7	5
на то	2	8
по этому	2	3
вовсе не	8	35
а именно	12	12
то и	2	6
некоторого рода	4	5
прежде чем	2	3
как мы	2	7
без всякого	2	2
все эти	2	8
он и	5	8
в других	3	5
не могут	2	2
точно так	3	4
конце концов	6	4
только и	3	3
или иных	2	2
не в	7	4
у гёте	3	4
такого рода	2	7
но только	3	2
у нас	7	14
но все	4	3
об его	2	3
и не	12	31
может быть	7	14
и другое	3	2
ни в	4	7
смысле слова	3	7
в виде	10	15
не больше	2	3
даже и	4	8
и все	9	7
мы можем	5	4
о том	12	11
в этой	10	10
при помощи	6	13
по существу	2	2
в связи	7	4
иное как	3	2
в себе	4	15
нет никакой	3	2
что здесь	2	3
только в	9	7
не просто	5	23
но и	13	9
что не	2	3
не что	3	2
в дальнейшем	7	4
о своем	2	2
учение о	3	3
того чтобы	2	9
из них	2	3
не то	2	2
как в	2	4
для того	3	8
только для	2	3
то что	18	42
как и	7	3
и которые	2	5
потому что	13	16
в науке	2	2
нас не	3	2
в которой	5	2
если не	4	4
один из	2	4
в области	2	2
и сама	2	2
и который	3	2
ясно что	4	3
что этот	5	2
говорит о	7	3
он сам	3	2
и его	6	3
и только	2	4
в целях	2	2
самом деле	2	6
он не	3	3
не может	5	8
в его	12	6
крайней мере	4	2
и то	5	6
мы выше	2	4
с ним	3	3
не только	18	17
по себе	2	15
том что	17	12
можно сказать	6	5
на тот	2	2
со всеми	2	2
бесконечный ряд	2	12
отнюдь не	4	10
и тем	3	13
в них	2	7
человека а	2	2
уже и	2	3
в виду	3	6
тем что	2	7
а не	5	15
хотя и	8	6
мы не	2	2
указывает на	3	14
мы находим	7	2
и даже	14	11
именно на	2	3
и на	6	8
есть только	3	8
во всяком	2	7
же в	3	4
гораздо больше	2	2
обратить внимание	3	3
свой собственный	2	2
что его	3	3
в котором	2	5
в самой	3	3
этому поводу	2	3
в конце	8	6
для себя	5	3
хотя бы	2	3
или в	4	4
ничего не	2	10
еще и	4	5
все время	3	2
но еще	2	2
всяком случае	2	3
в бесконечный	2	11
в том	12	9
вообще и	2	4
в таких	2	2
но в	9	14
и что	6	9
на его	2	2
с другой	6	3
но он	5	3
является символом	2	4
сказать что	9	13
далеко не	4	5
необходимо сказать	4	2
