2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram
текста на	2	2
между тем	2	5
между двумя	4	3
мы имеем	3	6
как-то раз	2	2
всего лишь	8	4
в рамках	3	3
том или	2	3
ментального внутреннего	3	2
никогда не	3	2
как будто	3	3
встречи с	2	2
несмотря на	3	2
так и	15	4
в своей	2	6
для печорина	8	4
литературного произведения	16	41
с точки	2	4
свидетельствует о	2	2
прежде всего	3	6
максима максимыча	16	3
может выступать	2	2
со стороны	3	2
в данном	8	2
не о	2	2
и в	16	18
таком случае	2	3
но не	4	10
имеем дело	3	4
не случайно	8	3
того или	3	3
вместе с	2	4
если бы	3	3
то есть	9	11
еще в	2	2
к тому	7	7
в качестве	11	31
данном случае	5	2
для него	4	2
художественного впечатления	17	14
эстетический анализ	2	2
именно в	3	4
другой стороны	2	2
при этом	10	12
и одновременно	3	3
в сознании	4	2
целого в	2	4
подобно тому	3	3
особого рода	2	7
в эпизоде	10	2
художественную реальность	2	2
перед лицом	2	6
художественная реальность	2	8
того что	2	4
едва ли	3	2
точки зрения	4	6
сводится к	3	5
отношения к	2	2
себя в	2	6
объектной организации	10	2
раз случилось	2	2
текста и	2	8
или ином	2	3
столь же	4	4
тому как	3	3
была бы	2	2
читателя в	4	2
в таком	2	3
вступает в	2	3
и является	4	2
место в	3	3
в целом	8	5
то же	4	9
на этом	4	2
а также	7	3
как бы	10	5
может быть	6	29
в противоположность	2	2
представляет собой	8	16
что в	2	5
уже не	4	4
в этом	18	13
печорина в	4	3
эстетического объекта	3	11
не следует	2	4
роль в	2	2
вследствие этого	2	3
одного из	3	2
ни с	2	3
максим максимыч	8	2
лишь в	9	5
того же	4	4
лирического героя	5	2
с одной	5	3
присутствия в	2	2
романа в	3	2
совпадает с	4	2
художественной реальности	20	14
собой систему	2	2
или иного	3	3
текста а	2	4
тех или	2	2
за пределами	2	2
той же	2	2
природе своей	2	2
в их	3	5
организации текста	3	3
в мире	6	8
еще не	2	3
в то	2	9
реальности в	2	4
было бы	3	2
как уже	3	2
по природе	2	3
в самом	6	6
в ходе	4	3
отличие от	2	6
и до	2	2
таким образом	2	3
а в	3	9
художественного произведения	2	5
о предопределении	5	2
своего рода	12	3
тогда как	19	14
и читателя	3	2
эстетического дискурса	3	10
и т.п	8	5
организации художественного	3	3
как мы	3	2
вовсе не	2	2
представляют собой	2	2
иного рода	2	2
повествователя рассказчика	2	2
максимом максимычем	2	2
произведения в	5	11
не столько	3	2
художественного смысла	3	7
или иных	2	2
по выражению	2	2
не в	4	14
на основе	2	2
такого рода	2	5
отношению к	4	5
и не	12	21
чем и	2	2
в произведении	2	5
жизни но	2	2
за пределы	4	2
даже в	2	3
в себя	4	6
как правило	4	4
во времени	2	4
автора и	3	3
внутренней речи	4	5
произведения как	2	7
и все	3	3
состоит в	8	11
о том	7	5
в этой	9	5
художественного высказывания	2	2
и к	5	3
данного произведения	2	3
от которого	2	2
я и	3	6
в проекции	8	3
в себе	7	11
этом отношении	3	2
не с	4	4
только в	4	6
но и	12	17
художественного восприятия	2	7
дело не	2	3
имеет место	4	5
соответствии с	2	2
текста в	6	12
из них	3	2
коммуникативного события	4	14
и сам	3	2
что и	3	3
или иной	3	6
то что	7	6
как и	14	13
объекта и	2	3
личность в	2	2
в текст	2	3
один из	2	2
только не	4	2
от своего	2	2
в двух	2	2
внутреннего я	2	4
и его	4	5
в роли	2	2
я в	3	3
он не	2	3
не может	4	22
в его	2	13
художественное восприятие	2	3
художественного мира	2	2
как говорит	2	2
не есть	2	8
литературное произведение	3	12
с ним	2	4
семиоэстетического анализа	3	4
художественного целого	7	10
не только	16	15
по себе	2	4
том что	12	12
можно сказать	4	2
тем самым	4	7
участка текста	2	3
на себя	5	2
сотворческого сопереживания	2	2
а как	2	2
отнюдь не	8	15
жизненной позиции	3	2
самого рассказывания	2	2
могут быть	10	4
в случае	2	6
той или	3	6
а не	10	17
этого слова	3	7
на уровне	9	3
на фоне	3	2
же время	2	6
и на	6	5
в конечном	3	4
к предмету	2	2
что случилось	2	2
в тексте	24	5
собственно говоря	2	4
и то	3	2
факторов художественного	6	6
в отличие	2	6
особенно в	7	2
по отношению	4	6
в котором	2	3
литературоведческого анализа	2	3
текста но	2	3
субъектной организации	6	3
организации литературного	2	3
и адресата	2	2
при всей	3	2
тому же	4	4
одной стороны	4	3
в том	12	27
иначе говоря	11	9
но в	6	8
мне как-то	2	2
на его	3	2
с другой	6	4
конечном счете	2	4
в сущности	4	6
в нашем	3	3
того и	2	3
в пределах	9	2
в частности	16	19
