3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram
в бесконечный ряд	2	11
в конце концов	6	4
на то что	2	8
во всяком случае	2	3
для того чтобы	2	8
о том что	9	5
и то что	3	2
тех или иных	2	2
по крайней мере	4	2
то и другое	2	2
не что иное	3	2
в настоящее время	3	3
в том что	8	5
необходимо сказать что	4	2
в таком случае	2	6
и о том	2	3
с точки зрения	8	3
тем не менее	5	18
в данном случае	2	8
можно сказать что	3	3
также и то	2	2
с другой стороны	5	3
по этому поводу	2	3
дело в том	2	3
в связи с	7	4
точно так же	3	4
не может быть	2	2
что иное как	3	2
в этом смысле	3	6
до сих пор	2	3
