2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_2gram
представлений о	7	2
мы имеем	14	7
связи с	8	3
и этим	2	2
в античности	2	4
можно показать	2	2
эти случаи	2	2
еще один	2	2
наряду с	4	3
никогда не	3	2
что это	5	2
в нем	7	2
так же	5	18
и при	2	3
видели что	2	3
его в	9	9
к нему	3	6
об этом	2	7
в лодке	5	2
и рыб	2	2
в своей	2	4
это не	6	5
после того	3	2
иногда он	2	3
в лесу	2	12
в свете	3	3
сказке герой	5	3
в форме	3	2
но это	7	3
и он	6	3
в данном	3	3
и в	25	26
одна из	2	2
но не	5	5
в русской	3	3
вместе с	22	6
если бы	2	2
этих случаях	8	8
сказке в	5	2
в качестве	7	7
она не	2	3
перед нами	2	3
данном случае	2	3
и т	20	27
для нас	5	3
он делает	2	2
другой стороны	8	4
на птице	2	2
все это	4	2
у него	2	5
знаем что	6	7
на берегу	2	2
он живет	3	2
волшебные предметы	2	4
живет в	5	2
связь с	8	12
связан с	2	3
герой в	4	3
мы опять	3	2
ему в	3	2
в царство	3	2
становится понятным	2	2
с этим	5	2
и с	3	5
что герой	3	2
уже в	2	2
с представлением	2	3
помощи которой	2	2
и как	3	5
что мы	2	3
того что	2	2
предположение что	3	2
того как	4	4
не менее	4	2
себя в	6	2
что он	22	10
показывает что	5	10
так что	2	2
это уже	2	2
в америке	4	3
или на	2	2
тем не	4	2
но для	2	2
с появлением	5	4
и конь	4	2
здесь можно	2	2
в иной	7	6
только тогда	2	3
с тем	8	2
во всем	2	3
то же	4	8
огонь и	3	4
в целом	3	2
на этом	3	2
к этому	2	5
как бы	2	3
представляет собой	7	2
в иное	5	7
попасть в	2	2
то здесь	2	2
что в	8	14
сих пор	2	5
животное не	2	2
уже не	11	5
иногда даже	2	3
в этом	10	7
в которых	3	4
представления о	3	3
сибирских народов	2	2
же представление	4	2
его и	2	2
видим что	5	2
в мифе	7	2
не всегда	4	6
в некотором	2	2
формы и	2	2
в обряде	5	2
о чем	2	3
нет необходимости	3	3
к сказке	3	4
совершенно ясно	4	2
героя в	9	7
от них	2	2
этого мотива	8	3
но мы	3	3
еще не	8	6
умершего в	4	2
т е	16	18
время обряда	2	2
связанные с	2	3
этом случае	7	3
так как	11	9
он же	2	2
подземный мир	2	2
и др	3	5
представлением о	3	2
таким образом	9	10
а в	3	8
в животное	6	5
его на	4	4
до сих	2	5
на то	2	3
уже выше	2	2
на том	3	2
как мы	5	5
а именно	4	3
вопрос о	2	4
вовсе не	2	4
представляют собой	3	4
все эти	8	3
например в	5	3
в африке	4	3
в других	2	2
на которой	2	2
показывают что	3	2
все еще	4	3
его к	3	3
он бросает	2	3
неи это	2	2
в некоторых	4	5
на смену	4	3
не в	6	5
но есть	2	2
некоторых случаях	2	4
так например	2	2
но все	5	5
со змеем	3	2
сказке о	2	3
мы видим	8	6
или он	2	3
и не	11	9
даже в	2	4
а сам	2	2
может быть	17	14
на него	8	3
в виде	9	2
мы знаем	8	8
такое же	2	4
которой он	2	2
и все	3	2
мы можем	2	6
о том	7	4
так в	2	4
у племени	2	3
в этой	3	2
при помощи	7	10
по существу	2	3
аф вар	2	3
в связи	4	2
е в	3	3
что у	4	3
мы должны	4	5
имеет форму	2	2
что здесь	3	7
только в	7	3
но и	13	12
мы здесь	4	2
в дальнейшем	4	6
садится на	4	2
аф неи	5	3
в истории	4	2
из них	2	2
рассмотрим сперва	3	2
в этих	6	7
выше мы	2	2
что и	6	9
как в	6	7
змея или	3	2
то что	7	16
мы видели	7	6
таким же	2	6
мы увидим	5	3
потому что	7	6
в другой	3	3
указывают на	2	2
неи в	9	4
как и	7	7
т д	18	24
на коне	2	8
этот случай	3	9
в мифах	6	2
в особенности	3	2
том как	2	2
и здесь	7	5
что этот	2	4
при смерти	4	2
говорит о	2	2
тогда он	2	2
и пр	3	11
с этой	2	2
и его	9	10
когда он	2	6
чтобы он	2	2
в роли	3	2
к которым	2	5
не может	6	6
он не	4	7
русской сказке	4	4
в его	12	5
в образе	5	3
когда герой	4	4
тех же	2	2
не только	13	15
по себе	2	2
том что	8	3
мы уже	4	5
а затем	7	3
и они	2	2
и тем	4	2
или же	3	3
а как	2	2
во время	7	7
на себя	3	4
могут быть	6	6
попадает в	2	3
тем что	10	5
тридесятого царства	2	2
же как	4	13
раньше чем	4	5
а не	2	6
из которых	2	5
их в	3	7
и других	2	3
бы мы	2	2
это происходит	2	2
то это	3	5
на гору	3	2
и действительно	5	3
дает ему	3	4
и на	8	2
т д.<неи	2	3
можно найти	2	2
же в	2	3
а на	2	4
таких случаях	2	2
животное в	2	4
эта связь	2	5
этот мотив	6	4
в могиле	2	4
на небо	6	7
или в	6	3
он может	2	2
ничего не	2	5
иной мир	6	6
сказка знает	2	2
frobenius б	13	3
представление об	2	3
превращается в	7	7
в том	6	3
там где	6	3
это же	3	2
иное царство	4	6
в таких	3	2
здесь мы	5	2
в сказке	18	47
и что	8	5
с другой	9	4
но он	2	4
и по	2	5
сказать что	2	2
все же	10	9
можно наблюдать	3	2
птиц и	3	2
в частности	7	2
