2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
начинает с	2	2
в самых	2	3
в действительности	4	2
сам по	4	2
и ее	3	2
мы имеем	4	2
далеко не	5	3
же мы	3	2
художественной формы	12	4
такой же	7	2
понятно что	2	3
сейчас же	5	16
никогда не	9	5
как будто	7	8
что это	8	13
так же	18	13
в художественном	6	2
мы в	3	3
не на	2	2
в нем	4	7
можно было	7	4
из этого	4	5
так и	3	3
об этом	3	4
действия и	2	2
всю жизнь	2	2
что она	16	10
с точки	10	4
это не	2	6
в своей	3	4
в ее	2	2
и он	3	3
утверждает что	5	4
и в	32	33
не потому	2	2
но не	2	3
на нас	3	4
вместе с	2	8
то есть	21	13
если бы	6	10
тот же	6	3
к тому	7	12
она не	2	3
и т	10	6
который он	2	2
для нас	2	7
должен был	2	3
и так	3	4
что оно	2	3
вслед за	5	3
другой стороны	2	2
все это	5	13
при этом	13	2
знаем что	4	4
же самые	2	2
мы будем	2	5
этот вопрос	3	4
с этим	4	5
и с	4	2
нам что	2	2
их в	2	3
и как	7	5
образом в	3	2
того что	8	4
едва ли	4	2
точки зрения	17	6
говорит эйхенбаум	2	2
сводится к	2	2
же самое	6	6
тому как	3	2
даны в	2	4
столь же	4	2
что он	13	20
говорит что	7	10
так что	3	7
и эти	2	2
как на	5	6
что при	9	2
также и	2	2
была бы	2	2
сами по	3	3
он все	3	3
что они	7	6
с тем	11	4
место в	2	2
в целом	4	5
в таком	2	4
дело с	8	3
во всем	3	2
на этом	3	3
то же	13	9
на все	5	2
как бы	6	25
и говорит	2	3
сих пор	5	3
что в	20	21
в которых	3	3
тем и	2	2
в этом	13	28
бы то	2	2
в жизни	4	4
мы получим	2	3
видим что	3	2
это то	2	3
совершенно верно	2	6
в драме	2	3
совершенно ясно	7	8
никак не	4	6
и этот	2	3
стоит только	2	2
той же	8	4
в их	3	2
это совершенно	2	3
в то	5	3
и для	4	3
то как	3	2
так как	12	12
и мы	6	15
как раз	5	9
меньше всего	2	2
то чтобы	2	2
было бы	11	12
же точно	10	7
в самом	12	12
и до	4	3
таким образом	21	13
и той	4	2
а в	4	4
иметь дело	4	2
точка зрения	2	2
в руках	2	2
которой мы	2	3
что если	6	3
однако не	2	2
что для	7	5
художественного построения	3	2
до сих	5	3
на то	11	10
вовсе не	2	5
все эти	7	6
например в	3	3
ли он	2	2
жизни и	4	4
могло бы	2	3
точно так	3	3
как это	4	14
конце концов	3	3
во всех	3	2
т п	8	3
если мы	12	12
не в	8	2
художественный прием	2	2
себе и	2	2
мы видим	4	6
как она	4	10
и не	10	13
полагает что	2	5
и другое	2	2
к которой	2	3
может быть	18	22
всякий раз	2	6
на него	2	4
ни в	2	3
показать что	5	7
с таким	8	2
мы знаем	7	2
и сейчас	3	3
и из	6	3
и все	4	12
ли это	2	3
мы можем	3	5
в одном	2	3
на самом	5	6
что форма	4	2
при анализе	2	2
о том	6	20
в этой	6	9
при помощи	10	4
по существу	3	2
и к	3	2
совершенно не	4	4
больше того	2	3
в себе	2	6
мы должны	3	6
на примере	2	2
что у	5	4
ни на	3	2
только в	7	4
но и	10	3
и когда	4	2
что не	3	4
для этого	3	8
самое что	2	2
материал и	2	2
того чтобы	14	22
то время	3	2
жизнь и	3	4
из них	4	4
как он	2	5
при таком	4	3
не имеет	4	2
когда мы	2	6
что и	17	3
казалось бы	2	5
для того	13	23
но совершенно	3	4
материала и	2	2
как в	9	3
в искусстве	21	2
то что	21	44
как и	10	5
увидим что	2	3
т д	2	2
потому что	21	24
бы не	2	2
что все	9	11
в которой	2	4
один из	3	2
том как	2	3
и это	4	5
и здесь	2	3
что этот	2	3
ясно что	7	5
говорит о	2	4
с этой	4	4
как нельзя	2	2
что самое	2	5
и его	7	5
и только	2	7
когда он	10	7
до конца	3	7
это было	3	4
надо сказать	2	3
самом деле	16	12
не может	17	10
он не	6	11
могли бы	2	2
первый раз	2	4
в его	2	10
как говорит	3	2
в нашей	3	2
и то	3	2
с его	2	2
не только	12	7
заключается в	12	5
по себе	12	9
не понимает	2	2
том что	21	22
как только	2	2
в какой	2	5
видит в	3	3
на этот	2	3
та же	3	3
в каком	3	8
в них	2	2
в своих	9	3
в виду	3	2
тем что	9	3
смысл и	2	4
же как	4	3
мы не	3	5
одной и	4	2
указывает на	3	3
все те	2	2
в ней	5	6
из которых	2	3
а не	7	6
то это	3	3
и других	3	4
бы и	3	2
же время	2	2
и на	5	5
что именно	3	3
с но	2	3
есть только	5	2
думать что	3	2
во всяком	2	3
целый ряд	6	5
с той	4	2
есть как	2	2
не было	2	3
который не	3	2
того не	2	2
в первый	2	3
тому что	4	6
а на	4	2
что его	5	3
с ее	3	3
и совершенно	3	5
а другой	3	2
в самой	2	6
в конце	3	8
том чтобы	3	4
он говорит	5	3
хотя бы	3	2
те же	6	2
нам казалось	2	2
ничего не	4	2
сущности говоря	4	2
все время	6	24
в основе	11	3
всяком случае	2	3
к составляющим	2	2
в том	37	21
а с	2	2
это в	2	4
иначе говоря	4	2
о ней	4	2
но в	3	2
здесь мы	2	3
и что	22	25
показать как	2	2
с другой	3	2
и от	2	2
но он	3	6
в сущности	7	6
и вот	3	6
время как	3	2
сказать что	7	13
все же	4	5
в частности	3	4
