4gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_4gram
житейских и научных понятий	5	2
развития научных понятий в	2	2
тех и других понятий	4	2
одной и той же	3	4
понятий в школьном возрасте	2	2
заключается в том что	5	13
общего к частному и	2	2
мы могли бы сказать	2	2
спонтанных и научных понятий	2	2
у одного и того	2	2
и того же ребенка	2	2
могли бы сказать что	2	2
одного и того же	4	5
между обучением и развитием	5	2
состоит в том что	2	3
