3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram
есть не что	3	2
и не просто	5	2
и прежде всего	2	2
в чистом виде	3	2
той или другой	4	3
во всяком случае	10	4
то есть в	2	6
же самое время	4	2
для того чтобы	2	2
пусть хотя бы	2	3
в каком случае	3	3
о том что	14	3
и независимо от	2	2
вовсе не является	3	2
не говоря уже	4	2
сама по себе	4	2
то есть не	3	3
на самом деле	2	3
заключается в том	2	2
но никак не	2	2
имеем в виду	2	3
по крайней мере	6	6
как будто бы	5	2
и в частности	3	2
в значительной мере	3	2
можно ли сказать	2	2
только в том	4	3
не что иное	3	2
в том что	4	8
не есть ни	3	2
необходимо сказать что	5	3
не только в	2	4
ни в каком	4	5
или по крайней	3	2
того или иного	5	3
не имеет ничего	2	2
не только не	2	4
уж во всяком	2	2
в то же	4	2
содержит в себе	2	8
сами по себе	2	2
те или иные	3	4
это значит что	3	7
тем не менее	12	10
имеет ничего общего	2	2
даже и не	2	2
то же самое	5	6
едва ли кто-нибудь	2	2
ничего общего с	2	2
каком случае не	2	3
в данном случае	5	5
тот или иной	4	2
хотя бы и	3	2
с другой стороны	5	6
и ни в	2	3
можно было бы	2	4
и т д	6	3
в связи с	5	3
точно так же	3	3
что иное как	3	2
в этом смысле	5	3
более или менее	4	2
вовсе не есть	10	2
слова то есть	2	2
