2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_2gram
не об	3	3
никогда не	17	5
так же	5	6
образ героя	2	4
к нему	11	3
для достоевского	4	6
со стороны	4	2
на мир	2	8
как вы	2	2
перед нами	4	4
достоевского которая	2	2
и одновременно	2	3
не исчерпывается	2	2
в результате	3	4
и как	2	8
поэтому и	3	2
точки зрения	19	21
отношения к	2	2
из подполья	4	11
герой достоевского	5	6
в целом	5	4
как бы	15	28
что в	6	8
уже не	6	8
в жизни	3	6
этом смысле	5	9
романа в	5	4
точками зрения	2	2
но как	2	3
и о	2	3
и у	2	4
с другими	7	7
было бы	4	6
авторского слова	2	7
таким образом	11	11
а в	3	7
его творчества	5	7
ни одного	3	2
достоевского но	3	8
жизни и	15	6
достоевского в	4	19
отношению к	8	11
точку зрения	5	4
на него	2	2
мире достоевского	6	5
все то	2	4
в себе	5	5
от автора	4	3
только в	9	8
как не	5	4
и сам	3	2
творчества достоевского	2	7
полифоническом романе	3	3
сочетается с	4	3
достоевский в	5	7
и его	8	13
до конца	7	5
он не	9	4
не может	24	11
по себе	8	7
на материале	3	3
а как	4	6
в них	4	3
тем что	2	3
как у	2	2
в кругозор	2	6
же время	3	7
в условиях	2	2
в котором	7	2
мысли и	3	2
он может	2	3
эта форма	2	2
в том	8	11
но в	6	4
диалогические отношения	3	3
все же	4	5
не на	4	3
его в	3	4
так и	3	10
с точки	9	15
в форме	2	6
в одной	5	4
и в	45	23
она не	5	5
его личности	2	2
героев в	3	2
все это	5	7
при этом	2	3
в сознании	2	2
этот вопрос	4	2
и с	7	4
уже в	4	5
романа не	2	3
зрения на	5	8
все что	3	3
что он	7	10
тому как	2	3
не раз	2	2
авторского замысла	2	2
в этом	20	25
авторской позиции	5	3
своих героев	2	3
героя и	7	5
его художественного	4	4
в их	4	3
в мире	3	7
еще не	9	5
в то	5	10
как раз	6	4
в самом	13	8
романе достоевского	3	9
в литературе	6	3
что для	2	2
до сих	2	2
и т.п	6	3
конце концов	3	4
слово о	6	2
романа но	2	2
во всех	4	5
за пределы	5	6
и не	42	34
автора и	2	5
герои достоевского	2	3
большинстве случаев	2	2
в одном	6	9
в произведениях	3	2
не как	6	12
как же	2	3
бы в	5	3
себя и	2	2
но и	15	11
его романов	2	3
таким же	2	2
потому что	8	12
полифонический роман	2	9
в которой	2	4
в каждом	4	8
в его	22	24
одним из	3	8
в той	3	6
с ним	8	6
можно сказать	2	2
в своих	4	2
были бы	2	4
изображения и	2	4
этого слова	2	2
из которых	2	2
диалог в	2	2
в сфере	2	2
не было	2	3
человек из	2	3
по отношению	8	11
одного куска	2	2
героя с	2	2
а потому	2	2
в пределах	4	9
в зависимости	3	3
в художественном	3	2
в нем	20	20
можно было	2	3
что она	4	2
в своей	6	11
это не	3	10
прежде всего	11	7
но это	2	5
с идеей	2	3
не потому	2	2
но не	6	8
достоевский прежде	2	2
одна из	3	2
то есть	50	24
если бы	2	10
тот же	2	2
для него	9	15
именно в	3	6
у него	6	6
достоевский не	3	5
и поступков	2	2
по крайней	2	2
себя в	2	3
этого мира	2	4
так сказать	7	3
в большинстве	2	2
и их	6	2
между ними	4	2
произведениях достоевского	4	5
мы остановимся	2	3
лишь в	2	3
должна быть	3	2
у вас	2	2
героя в	5	4
пределы одного	3	2
видения и	3	8
и для	2	3
они не	2	3
личности в	3	4
европейского романа	3	4
творческого процесса	2	3
особенности произведений	3	2
дело идет	6	6
точка зрения	7	7
его целом	3	5
человеческой жизни	2	2
него не	3	2
например в	2	3
он и	4	5
нет ни	3	2
друг с	2	3
литературе о	2	3
мы видим	2	3
человека в	5	5
даже в	6	2
одного сознания	6	4
достоевского как	5	12
о себе	3	9
точке зрения	3	2
я не	6	3
мы должны	4	2
ивана карамазова	4	5
для понимания	2	3
в истории	2	2
как он	4	2
в этих	4	2
идет о	2	3
то что	5	18
что все	3	3
в области	2	3
автора в	3	2
с другом	2	3
рядом с	3	13
и здесь	2	3
он сам	6	3
ни один	3	2
сливается с	4	2
с его	8	6
и изображения	3	4
не только	16	13
том что	7	9
от того	2	2
а не	10	20
и даже	3	3
самого героя	2	8
само по	2	2
он есть	2	3
и на	7	10
героев достоевского	4	3
в самой	3	7
же что	3	2
для себя	3	2
в романах	8	7
он говорит	2	2
ничего не	3	6
конечно и	2	4
друг друга	7	3
в сущности	7	5
романа и	4	4
сказать что	5	5
мы уже	3	2
три плана	2	2
выражение в	3	4
как на	2	2
есть в	8	3
из одного	2	4
их мирами	3	4
зависимости от	3	3
в процессе	2	4
в художественной	2	2
в человеке	10	6
входит в	9	2
обычного типа	2	3
и потому	6	3
подобно тому	2	3
и другие	4	2
достоевского не	8	11
того что	3	2
в своем	5	8
была бы	3	2
романах достоевского	6	6
в единство	3	5
то же	5	10
идет не	3	3
к этому	4	2
во все	2	3
сих пор	2	2
одной плоскости	4	3
и самое	2	2
по достоевскому	3	2
для автора	4	3
себе самом	3	6
не значит	2	2
так как	5	7
полифонического романа	5	17
и другими	2	4
точек зрения	3	3
с их	4	5
образа героя	2	3
у достоевского	14	24
вовсе не	7	8
как мы	8	5
произведений достоевского	3	7
все возможные	2	3
все эти	4	8
но у	3	2
как человек	2	2
в романе	3	11
о нем	6	11
не в	8	6
но все	4	4
сознания и	6	3
может быть	18	21
ни в	2	3
слово автора	4	2
да ведь	2	2
о том	3	2
его творчестве	3	2
более того	5	3
и к	2	4
этом отношении	2	5
сам он	2	3
мир в	2	2
из них	9	2
по своим	2	2
самого достоевского	2	6
что и	5	5
как в	4	6
слово в	3	2
как и	14	8
достоевского и	2	12
один из	2	2
сознание и	4	3
самом деле	4	5
крайней мере	2	2
в полифоническом	4	2
в едином	2	4
их в	7	2
роман достоевского	2	11
и других	3	5
кажется что	2	3
бы и	3	4
это очень	2	3
идеи в	5	7
идея как	2	2
с ее	3	2
с авторским	4	2
в конце	4	5
хотя бы	5	2
лишь на	2	2
в основе	2	5
там где	6	6
в смысле	2	2
на его	5	2
и вот	2	2
и по	2	2
сам достоевский	2	2
