2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
искусства не	5	2
основу этого	2	2
никогда не	8	9
так же	12	13
утверждает что	2	2
со стороны	4	3
к тому	4	8
для нас	5	3
совсем не	3	2
в результате	4	4
с этим	3	2
и как	2	7
с совершенно	2	2
точки зрения	15	7
с здесь	3	3
же самое	2	5
в психологии	6	3
не дает	2	2
говорит что	5	6
что они	2	5
в целом	5	5
как бы	5	19
что в	23	24
этом смысле	2	2
отличается от	2	2
что всякое	5	4
совершенно верно	2	4
никак не	4	6
и дальше	2	2
той же	3	3
и о	4	3
в него	2	4
было бы	6	5
только на	3	4
в нас	2	13
таким образом	20	20
а в	6	4
художественного произведения	17	3
этой теории	6	2
по этому	2	5
очевидно что	6	2
жизни и	3	6
это только	2	3
но только	3	3
у нас	4	4
что эти	3	2
как она	2	4
эмпирической психологии	2	3
в себя	2	2
у шекспира	2	6
все то	3	2
мы никогда	4	2
напротив того	2	2
легко показать	2	3
по существу	4	2
в себе	4	5
художественное произведение	10	5
что здесь	2	3
только в	14	5
имеет место	2	3
в искусстве	4	6
на искусство	2	2
мы увидим	4	9
с так	2	2
и это	3	8
говорит о	2	4
что самое	3	2
и его	7	6
и только	3	3
до конца	6	2
не может	17	9
он не	3	3
не есть	3	4
и если	4	6
по себе	9	7
что по	3	2
и тем	2	6
в них	2	4
и следовательно	2	2
в трех	2	3
в котором	4	2
не существует	2	3
когда говорит	3	8
в том	30	27
но в	3	5
в совершенно	4	6
все же	5	7
приводит к	2	2
в частности	3	4
мы имеем	4	8
как будто	5	6
что это	6	8
действия и	2	4
так и	3	3
из этого	2	2
с точки	2	2
в ее	5	3
в одной	3	2
и в	31	30
не можем	3	4
вместе с	8	12
в качестве	2	2
исходя из	3	2
другой стороны	5	5
все это	8	2
при этом	19	8
представить себе	3	2
и с	2	2
психологию искусства	3	3
уже в	3	6
психологии искусства	19	5
совпадают с	2	2
что мы	8	11
гораздо более	2	2
эта теория	5	5
что он	7	17
с и	5	5
показывает что	5	3
в стихе	2	4
с тем	3	8
в этом	12	14
видим что	2	3
что искусство	11	4
формы и	5	3
о чем	2	4
по мнению	2	6
это есть	5	3
но мы	3	2
в то	5	2
как раз	2	13
в самом	11	14
отличие от	4	2
это и	3	2
для объективной	2	2
до сих	3	5
конце концов	3	2
т п	16	3
и не	16	6
показать что	8	12
мы можем	4	7
состоит в	3	3
в одном	2	2
на самом	2	2
совершенно не	5	6
бы в	2	5
и когда	3	9
но и	2	6
себя и	2	2
того чтобы	7	20
психологической теории	2	2
этих двух	2	7
казалось бы	2	4
для того	6	20
и поэтому	2	3
увидим что	2	9
потому что	10	23
искусство как	9	2
