2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
начинает с	2	2
большей частью	2	2
мы имеем	4	2
далеко не	2	3
художественной формы	5	4
такой же	2	2
из этих	6	2
никогда не	8	5
как будто	5	8
что это	6	13
так же	12	13
в художественном	3	2
в нем	2	7
как на	3	6
его в	2	3
так и	3	3
из этого	2	5
действия и	2	2
что она	6	10
речь идет	3	3
с точки	2	4
в своей	3	4
прежде всего	4	2
одно из	2	2
в ее	5	2
нам придется	2	3
утверждает что	2	4
со стороны	4	2
в одной	3	2
и в	31	33
одна из	4	4
и другую	2	3
не будет	3	4
но не	3	3
не можем	3	3
вместе с	8	8
то есть	26	13
если бы	6	10
тот же	2	3
к тому	4	12
совершенно другим	2	3
она не	5	3
и т	26	6
этими словами	2	2
исходя из	3	4
для нас	5	7
и так	4	4
в такой	2	2
что оно	3	3
другой стороны	5	2
все это	8	13
при этом	19	2
у него	4	6
вслед за	6	3
и потому	2	2
и всякий	2	2
в результате	4	2
по поводу	2	4
и есть	5	4
с этим	3	5
и с	2	2
как нельзя	4	2
уже в	3	2
и как	2	5
что мы	8	6
того что	10	4
с совершенно	2	4
точки зрения	15	6
же самое	2	6
что он	7	20
тому как	7	2
столь же	4	2
так что	5	7
говорит что	5	10
в своем	3	7
что при	3	2
что эта	3	6
с тем	3	4
что они	2	6
дело с	3	3
в таком	3	4
в целом	5	5
во всем	3	2
совершенно другой	2	2
то же	5	9
к этому	4	4
как бы	5	25
представляет собой	2	2
сих пор	3	3
что в	23	21
оказывается что	5	2
в которых	3	3
и все	5	12
в этом	12	28
в жизни	2	4
его и	3	2
видим что	2	2
совершенно верно	2	6
с одной	5	3
совершенно ясно	19	8
никак не	4	6
стоит только	2	2
той же	3	4
и о	4	4
но мы	3	2
в то	5	3
и для	5	3
так как	18	12
как раз	2	9
то чтобы	2	2
было бы	6	12
же точно	3	7
в самом	11	12
смысле этого	2	3
и той	3	2
таким образом	20	13
а в	6	4
точка зрения	4	2
это и	3	5
что для	2	5
до сих	3	3
на то	10	10
все дело	2	2
вовсе не	6	5
вопрос о	3	2
без всякого	2	2
как мы	2	4
например в	3	3
жизни и	3	4
могло бы	4	3
точно так	3	3
как это	4	14
конце концов	3	3
обратиться к	2	3
т п	16	3
если мы	12	12
не в	11	2
у нас	4	4
что эти	3	2
мы видим	5	6
как она	2	10
и не	16	13
даже в	2	2
всякий раз	8	6
может быть	22	22
ни в	9	3
с таким	11	2
показать что	8	7
и сейчас	2	3
в основу	2	3
какой мере	3	2
мы знаем	3	2
мы совершенно	2	4
ли это	2	3
у шекспира	2	2
все то	3	12
в одном	2	3
мы можем	4	5
мы никогда	4	3
напротив того	2	2
легко показать	2	3
на самом	2	6
по существу	4	2
из его	3	2
при помощи	20	4
в этой	3	9
совершенно не	5	4
почти всегда	3	2
в себе	4	6
критики и	2	2
и к	3	2
на примере	3	2
что у	3	4
нет никакой	3	2
только в	14	4
но и	2	3
и когда	3	2
не является	5	2
того чтобы	7	22
то время	5	2
из них	2	4
как он	2	5
когда мы	3	6
не то	2	4
что и	13	3
казалось бы	2	5
для того	6	23
как в	9	3
но совершенно	2	4
в искусстве	4	2
с психологической	3	2
идет о	2	3
то что	32	44
увидим что	2	3
о том	7	20
мы увидим	4	2
потому что	10	24
как и	16	5
что все	3	11
т д	8	2
ее и	2	2
в которой	4	4
его не	2	2
один из	4	2
только не	3	2
и это	3	5
очень легко	2	4
и здесь	2	3
был бы	5	3
говорит о	2	4
с этой	4	4
ясно что	19	5
что самое	3	5
и его	7	5
и только	3	7
когда он	2	7
до конца	6	7
надо сказать	3	3
самом деле	9	12
он не	3	11
не может	17	10
в его	6	10
как говорит	2	2
и то	2	2
и если	4	9
с ним	2	5
заключается в	7	5
не только	13	7
по себе	9	9
том что	16	22
что психология	5	2
в какой	5	5
тем самым	2	3
или его	3	3
до тех	2	2
никак нельзя	2	2
та же	3	3
в каком	2	8
в них	2	2
в своих	4	3
мы все	2	3
в виду	4	2
их в	2	3
а не	13	6
же как	4	3
мы не	12	5
одной и	4	2
указывает на	4	3
из которых	3	3
этого слова	4	3
бы мы	2	3
и других	3	4
бы и	2	2
целый ряд	6	5
есть только	2	2
во всяком	8	3
тому что	4	6
сама по	2	3
почти все	2	2
не было	3	3
только что	2	15
в котором	4	2
и совершенно	5	5
в конце	3	8
том чтобы	7	4
те же	4	2
ничего не	2	2
сущности говоря	3	2
тому же	3	3
все время	4	24
в основе	2	3
к этой	2	3
исследования и	3	4
всяком случае	6	3
одной стороны	6	3
в том	30	21
это в	2	4
иначе говоря	5	2
тому чтобы	3	3
но в	3	2
и что	8	25
с другой	5	2
и от	2	2
и вот	3	6
в сущности	10	6
время как	5	2
сказать что	7	13
все же	5	5
и может	2	5
в частности	3	4
