3gram	Ircho_Komedia_partition_part1_wordlist_3gram	Ircho_Komedia_partition_part2_wordlist_3gram
после того как	2	3
во всяком случае	2	2
о том что	4	3
не говоря уже	2	2
в афинах в	3	2
то время как	2	4
iv в в	2	2
речь идет о	2	3
тому же в	3	3
бы то ни	2	2
по отношению к	3	3
говоря уже о	2	2
в том что	5	9
в то время	3	5
древней аттической комедии	2	6
к тому же	10	5
в первую очередь	3	2
в то же	3	4
и т п	2	5
в народном собрании	2	5
с одной стороны	2	3
едва ли не	5	3
то же время	3	4
до сих пор	2	2
то ни было	2	2
хоть и не	3	2
