2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram
не так	3	3
в создании	3	3
связи с	3	6
никогда не	4	4
так же	5	2
влияние на	2	4
со стороны	8	3
с нею	4	2
для нас	9	31
к мысли	2	2
то все	2	4
как кажется	3	4
о которых	2	3
есть явление	2	3
мысли о	4	4
с этим	7	7
но на	2	2
и как	6	6
самого начала	3	2
что слово	3	2
того как	6	7
том смысле	4	4
стало быть	2	4
заключить что	2	2
остается только	4	2
сравнении с	2	2
слова но	2	2
зависит от	5	2
в целом	2	3
как бы	6	9
себе представить	7	2
мы называем	2	3
во многих	2	3
что в	22	16
уже не	2	4
в жизни	3	2
этом смысле	4	2
можно заметить	2	3
а вместе	3	4
той же	3	3
могла бы	2	3
было бы	12	13
в нас	7	3
таким образом	13	11
звуки и	2	2
а в	5	8
что если	3	6
вместе и	9	5
из себя	5	2
его на	2	2
и б	2	2
очевидно что	3	3
только потому	3	2
в других	2	4
оно должно	2	3
у нас	2	2
steinthal с	4	2
и другое	3	4
на него	3	3
в себе	13	10
только в	25	11
имеет место	2	2
не имеет	5	6
только для	3	5
каждому из	2	2
если не	2	4
и это	3	2
и его	5	2
и только	2	6
в животном	2	2
это будет	2	3
не может	22	12
человеческой природы	3	2
могли бы	2	2
не есть	10	6
и если	2	4
по себе	10	15
или же	3	7
и тем	3	3
в них	3	5
мере того	3	4
быть не	4	3
мысли в	9	3
тем что	9	7
хотя и	3	3
а только	4	8
же время	4	2
и следовательно	2	2
слова в	2	5
каждое мгновение	2	2
быть только	5	2
слова для	4	2
в том	26	18
но в	9	4
но он	2	2
все же	6	5
ни было	2	3
в природе	6	5
само собою	2	2
относится к	3	3
к языку	2	4
что это	3	3
по мере	6	5
и при	3	3
в словах	3	3
так и	13	5
и в	39	24
не можем	2	6
вместе с	8	11
помнить что	3	3
значение и	2	2
другой стороны	5	2
при этом	6	13
в сознании	3	23
к которому	3	2
что мы	4	11
и наоборот	6	5
языка и	17	3
все что	2	3
тому как	4	4
столь же	3	5
только тогда	5	3
с тем	5	4
мысль о	2	7
вытекает из	2	2
не имеют	5	2
к ней	2	2
в этом	15	8
и неудовольствия	4	2
должно быть	7	2
бы ни	4	5
еще не	6	4
в то	4	6
в сравнении	3	2
в самом	3	4
души и	5	4
и звука	4	3
мы принуждены	2	2
что для	3	3
при других	3	2
которые не	2	3
то и	7	9
во всех	5	7
т п	4	3
бы быть	4	3
связь между	2	2
так например	3	3
т с	25	18
