2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram
между тем	5	2
мы имеем	5	3
всего лишь	8	8
в рамках	3	3
никогда не	5	3
в ответ	2	2
его в	3	2
так и	14	15
несмотря на	2	3
что она	2	2
с точки	2	2
прежде всего	5	3
говорить о	3	6
в контексте	2	5
и он	2	2
со стороны	9	3
в данном	4	8
и в	18	16
но не	7	4
имеем дело	4	3
не случайно	8	8
вместе с	2	2
то есть	10	9
модус художественности	2	3
для всех	2	2
к тому	6	7
в качестве	12	11
данном случае	3	5
для него	6	4
именно в	3	3
другой стороны	5	2
все это	3	4
при этом	11	10
по крайней	4	3
целого в	2	2
сочетании с	3	7
в результате	5	3
подобно тому	3	3
эстетическая модальность	2	2
по поводу	3	3
едва ли	3	3
точки зрения	3	4
сводится к	2	3
отношения к	2	2
себя в	4	2
не менее	4	4
тому как	2	3
в своем	4	4
столь же	4	4
тем не	2	3
или точнее	2	2
жизненная позиция	2	2
вступает в	3	2
то же	3	4
в целом	3	8
к этому	3	2
а также	2	7
как бы	10	10
в противоположность	2	2
представляет собой	5	8
что в	9	2
уже не	5	4
в этом	14	18
эстетического объекта	2	3
эстетической модальности	5	2
роль в	3	2
лишь в	5	9
не мог	2	3
того же	5	4
о чем	4	2
с одной	2	5
художественной реальности	3	20
той же	5	2
в их	6	3
в мире	5	6
еще не	6	2
нашего времени	3	4
в то	3	2
и для	2	2
значительной степени	2	2
как раз	7	4
было бы	3	3
как уже	2	3
с их	3	2
в самом	5	6
во второй	7	4
в борьбе	2	2
отличие от	2	2
таким образом	4	2
очевидным образом	2	2
о его	2	4
а в	10	3
в первой	8	3
своего рода	8	12
тогда как	20	19
и т.п	5	8
и т.д	2	3
он и	3	2
не столько	3	3
как это	3	6
в значительной	2	2
внимание на	4	2
во всех	2	4
в соответствии	2	2
не в	6	4
такого рода	5	2
отношению к	7	4
и не	12	12
может быть	9	6
в произведении	3	2
даже в	2	2
художественности в	2	2
в себя	2	4
как правило	5	4
однако при	2	3
произведения как	2	2
о себе	2	2
и все	2	3
состоит в	4	8
в одном	4	2
о том	6	7
в этой	6	9
художественного высказывания	2	2
я и	3	3
и к	4	5
в себе	2	7
что касается	3	3
картины мира	4	2
этом отношении	3	3
не с	2	4
только в	2	4
но и	13	12
дело не	3	2
текста в	6	6
сказать что	2	2
коммуникативного события	11	4
и сам	4	3
что и	5	3
как в	3	4
или иной	5	3
являет собой	3	3
то что	2	7
как и	14	14
ответ на	3	3
один из	2	2
только не	3	4
одну из	2	2
говорит о	2	5
личности и	2	2
и его	13	4
как смерть	3	2
уже говорилось	2	4
я в	5	3
он не	6	2
не может	2	4
по преимуществу	2	4
в его	7	2
как говорит	3	2
крайней мере	4	3
не есть	4	2
не только	22	16
художественного целого	6	7
с самим	2	3
по себе	4	2
том что	12	12
можно сказать	4	4
ли не	4	2
тем самым	4	4
отнюдь не	4	8
на себя	2	5
жизненной позиции	2	3
могут быть	2	10
в случае	5	2
тем что	2	3
той или	3	3
а не	9	10
хотя и	2	4
и даже	8	9
этого слова	2	3
жанровой стратегии	2	3
о своей	2	2
в конечном	2	3
же время	3	2
и на	4	6
в сочетании	3	7
в общем	2	2
в тексте	9	24
в отличие	2	2
с ее	3	2
его как	3	2
по отношению	7	4
в конце	5	4
те же	2	2
жизненных позиций	2	2
ничего не	3	9
тому же	3	4
одной стороны	2	4
можно отметить	2	2
в том	9	12
иначе говоря	2	11
но в	2	6
как пишет	2	2
на его	2	3
с другой	7	6
конечном счете	2	2
в сущности	5	4
ключ к	3	3
в пределах	4	9
героя нашего	2	3
приводит к	4	3
в частности	12	16
