2gram	Ircho_Komedia_partition_part1_wordlist_2gram	Ircho_Komedia_partition_part2_wordlist_2gram
между тем	4	5
в действительности	2	2
он был	2	2
и ее	2	3
ни было	2	2
при всем	3	2
всего в	2	3
демократии в	2	3
из комедии	5	6
наряду с	6	2
как будто	4	2
каждой комедии	3	2
в нем	6	4
в афины	3	4
его в	4	3
к нему	3	2
так и	12	5
речь идет	3	3
после того	2	3
прежде всего	4	5
комедии и	4	3
со стороны	2	2
на сцене	2	3
из комедий	3	2
и в	26	22
одна из	2	2
но не	3	2
по которым	2	4
в силу	2	2
вместе с	9	2
для всех	3	2
х годов	2	3
комедии в	6	7
тот же	2	3
к тому	12	6
в качестве	5	4
должна была	2	2
iv в	34	5
независимо от	5	2
и т	2	9
аттической комедии	15	9
еще в	4	5
это время	3	2
комедии от	2	2
в принципе	2	2
отношение к	2	3
под именем	2	2
н э	7	3
все это	3	5
у него	4	3
вслед за	2	2
у других	2	2
для комедии	2	2
комедии можно	2	2
современного читателя	2	2
афинах в	3	2
по поводу	3	4
и с	5	3
однако в	2	3
уже в	4	5
да и	3	3
перед лицом	2	3
этой комедии	2	5
даже не	3	2
едва ли	14	7
точки зрения	4	4
того как	3	3
не менее	4	3
в в	4	4
до начала	3	2
фр и	2	8
что он	5	6
на сцену	3	2
столь же	9	2
судя по	4	2
афинской демократии	2	9
в целом	4	3
место в	4	3
то же	3	6
на этом	2	2
к этому	5	4
и хотя	2	2
у аристофана	2	6
в период	3	2
первую очередь	3	3
древней комедии	8	17
на протяжении	10	4
что в	9	6
в v	5	2
сих пор	2	2
в лисистрате	2	3
в этом	10	3
не следует	2	2
бы то	2	2
того же	3	2
с одной	2	3
здесь в	3	3
художественного мышления	2	2
нового времени	2	5
в их	3	4
еще не	6	2
в то	6	10
в древней	4	2
так как	4	4
в комедиях	5	9
и у	2	3
в тех	3	3
по имени	4	3
в первую	3	2
пелопоннесской войны	8	13
было бы	8	2
на ленеях	2	5
войны и	3	5
на основании	5	3
в самом	4	2
в афинах	10	21
отличие от	2	2
таким образом	6	8
а в	3	6
как известно	2	2
до сих	2	2
народного фарса	2	2
как мы	4	4
вопрос о	3	3
вовсе не	2	2
v в	14	13
в других	2	2
как это	4	3
из числа	3	3
в комедии	19	22
т п	2	5
по своему	2	3
не в	2	6
афин с	3	2
со своей	3	2
г и	5	3
отношению к	3	3
и еще	2	3
мы найдем	3	2
и не	14	8
может быть	11	9
даже в	2	3
ни в	5	6
как правило	3	3
по адресу	4	14
войны в	2	2
мы знаем	3	2
внешней политики	2	2
и все	2	3
мы можем	3	4
в одном	2	8
в греции	2	4
из его	2	4
так в	2	4
как видно	2	2
и во	2	2
о том	6	8
в этой	3	7
cgf i	2	5
не удалось	2	3
с участием	2	3
что у	4	2
что касается	3	2
опять же	5	2
только в	4	3
но и	10	11
в истории	5	5
видно из	2	2
древней аттической	2	6
с достаточной	2	2
до нас	4	5
то время	3	5
из них	7	10
и сам	3	3
то ни	2	2
в доме	6	2
как в	3	5
что и	7	4
и особенно	3	4
идет о	2	3
то что	6	2
как и	4	9
потому что	6	5
в течение	2	3
в которой	5	6
один из	5	5
народном собрании	2	5
комедии с	3	4
и здесь	6	2
в народном	2	5
ясно что	8	4
и его	12	8
не может	3	2
он не	2	3
по содержанию	2	3
в г	17	11
в его	4	5
в образе	3	3
говоря уже	2	2
тех же	3	2
античной комедии	2	2
хоть и	5	2
не только	7	10
том что	9	12
в демах	2	4
в до	2	2
в ахарнянах	4	2
афин в	2	2
ли не	7	4
в следующем	2	2
что по	2	2
одной из	4	3
во время	6	5
на себя	7	2
не говоря	2	2
в них	4	3
в уже	2	2
действующих лиц	5	4
в как	2	2
тем что	3	4
хотя и	4	3
мы не	2	3
из которых	3	2
же время	3	4
и на	7	3
во всяком	2	2
же в	4	4
после смерти	3	3
дошедших до	2	3
по отношению	3	3
в котором	3	4
аттическая комедия	2	3
в конце	2	6
или в	3	2
в начале	4	3
тому же	11	6
всяком случае	2	2
одной стороны	2	3
в том	11	11
уже о	2	2
но в	3	4
с другой	2	5
комедии на	4	2
время как	2	4
демократического строя	2	3
все же	4	3
комедии не	3	3
также в	2	2
в частности	4	3
