2gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_2gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_2gram
между тем	2	4
к его	4	2
и ее	3	2
мы имеем	2	2
картина мира	4	3
в рамках	7	5
далеко не	2	10
литературного жанра	4	2
биографического дискурса	3	2
речевого действия	4	2
никогда не	2	2
в нем	7	9
жанровую стратегию	2	2
и того	3	3
есть в	2	2
в своей	6	5
так и	9	8
это не	3	3
прежде всего	7	11
со стороны	10	7
в данном	7	5
по сути	2	4
и в	16	16
но не	7	11
более чем	2	2
то есть	12	20
еще в	3	3
в качестве	16	34
данном случае	6	2
перед нами	3	3
для него	5	4
жизни в	3	2
в принципе	2	2
отношение к	2	4
именно в	2	3
другой стороны	2	3
при этом	17	13
и одновременно	2	2
основе своей	2	2
на мой	2	2
времени и	2	3
подобно тому	2	2
в ряду	2	2
мира в	3	3
общения и	2	2
жанровой системы	3	4
и как	3	6
лирического дискурса	14	2
сводится к	2	5
точки зрения	4	3
не менее	7	2
себя в	6	2
что он	2	4
коммуникативное событие	3	5
столь же	3	3
тому как	2	3
в своем	5	6
также и	3	3
сказания или	2	3
собственно и	2	2
в целом	2	4
то же	6	7
к этому	4	2
а также	8	8
как бы	4	5
с позиций	3	2
в противоположность	5	2
представляет собой	11	17
что в	5	4
лирических жанров	7	2
уже не	3	4
этого жанра	2	2
в этом	16	15
частной жизни	2	2
не следует	3	2
пока еще	2	6
в строгом	3	3
притчи о	4	2
роль в	4	7
вследствие этого	2	3
одного из	4	2
того же	2	3
о чем	2	2
из двух	3	2
с одной	4	9
жанров в	2	3
совпадает с	2	2
здесь в	3	2
героя в	5	2
же касается	2	2
но одновременно	3	2
времени в	4	2
не сводится	4	3
природе своей	2	5
еще не	6	14
в то	5	3
речевых жанров	3	12
мой взгляд	2	2
как уже	2	3
по природе	2	5
в ходе	2	3
ситуации рассказывания	2	3
н.д тамарченко	2	2
отличие от	12	5
по мысли	6	3
очевидным образом	3	3
ведет к	3	3
а в	2	5
своего рода	10	8
о.м фрейденберг	2	4
тогда как	11	19
и т.п	12	12
например в	3	2
в соответствии	2	2
не в	3	7
жанровая природа	2	2
такого рода	9	4
отношению к	4	9
о блудном	3	4
строгом значении	2	2
и не	15	11
значении этого	2	3
человека в	4	2
а сам	2	2
может быть	16	17
в себя	2	5
внутренней речи	3	2
блудном сыне	3	4
по словам	2	2
одного и	3	2
речевого жанра	4	2
в одном	4	2
состоит в	16	9
и все	3	2
а позднее	2	2
о том	4	8
в этой	4	2
в себе	19	7
не с	2	3
данного жанра	5	5
только в	3	7
но и	11	14
в другом	3	2
не является	4	4
адресата в	3	2
соответствии с	3	2
что же	2	2
из них	3	3
коммуникативного события	5	14
не более	2	2
становления и	3	2
что и	2	3
как в	8	10
или иной	3	5
коммуникативную ситуацию	3	2
являет собой	2	3
то что	5	5
как и	16	16
потому что	4	4
с.с аверинцева	2	3
стороны и	2	2
и его	3	2
не может	9	9
значении термина	2	3
было в	3	2
в его	3	7
с его	6	4
не только	10	28
том что	10	19
можно сказать	3	5
отнюдь не	6	8
в них	3	4
может и	2	2
в своих	6	3
могут быть	3	4
а не	14	22
той или	3	3
в притче	2	4
ни к	5	6
же время	5	4
и на	5	5
в рассказе	4	2
художественного письма	7	7
в тексте	3	2
не было	3	7
в отличие	12	5
по своей	6	11
с ее	2	2
коммуникативным событием	2	2
по отношению	4	9
в котором	3	5
в наше	2	2
для себя	2	4
и адресата	2	2
при всей	7	3
на самого	2	2
но при	2	3
следует признать	3	2
в основе	4	7
одной стороны	4	9
в том	8	23
это в	2	2
а с	5	5
иначе говоря	3	2
но в	11	8
в сказании	3	3
наше время	2	2
с другой	5	10
[...] в	3	5
в пределах	4	2
все же	6	3
приводит к	3	2
в частности	12	9
