3gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_3gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_3gram
и подобие божие	2	2
образ и подобие	2	5
а не в	4	2
на этом пути	2	2
для того чтобы	2	4
все творчество достоевского	4	2
в братьях карамазовых	3	2
свободу человеческого духа	3	2
обращен к грядущему	2	2
в этом он	2	2
должно привести к	2	2
в дневнике писателя	2	2
по отношению к	2	2
свобода переходит в	5	4
путь страдания и	2	2
в свою противоположность	2	2
о великом инквизиторе	4	2
у достоевского нет	4	2
добра и зла	4	5
в высшей степени	2	3
своеволия и самоутверждения	2	2
у достоевского есть	5	3
мы увидим что	3	2
не может быть	17	8
это и есть	4	3
в творчестве достоевского	4	3
испытание человеческой свободы	3	2
до сих пор	2	3
человеческой природы в	3	2
