3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram
и в самом	10	2
то что в	2	3
на то что	12	6
во всяком случае	2	3
для того чтобы	8	19
о том что	3	10
то что он	2	3
в сущности говоря	7	2
смысле этого слова	2	3
на самом деле	2	5
заключается в том	6	3
легко показать что	3	2
то время как	2	2
все то что	6	11
мы видим что	7	2
речь идет о	3	2
в том что	11	12
к тому что	2	5
что в этой	2	2
в то время	2	2
вместе с тем	2	2
в какой мере	2	2
и в этом	3	3
в самом деле	18	7
о том как	2	2
и та же	2	2
с точки зрения	9	4
с самого начала	6	5
не то что	2	3
то же самое	8	6
очень легко показать	3	2
мы все время	2	2
с другой стороны	5	2
и т п	5	3
с одной стороны	5	3
и т д	4	2
совершенно ясно что	5	3
он говорит что	2	2
до сих пор	5	3
