2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram
чувственных восприятий	3	2
не так	3	2
заметить что	6	6
в действительности	2	3
между тем	6	9
связи с	6	3
в сознание	10	2
мысли а	2	2
что такое	2	7
сам по	4	4
что например	2	3
из этих	4	2
никогда не	4	3
по мере	5	7
что это	3	7
так же	2	4
и при	3	2
мы в	3	3
в нем	9	7
оно не	3	2
влияние на	4	2
его в	3	4
так и	5	6
что она	3	2
тем как	2	2
есть в	2	5
это не	3	7
есть нечто	3	5
после того	2	2
но это	3	3
со стороны	3	3
в состоянии	6	2
и в	24	23
таком случае	2	2
за собою	2	2
не можем	6	5
вместе с	11	6
то есть	30	34
если бы	11	13
тот же	5	2
значение и	2	2
на деле	3	2
с нею	2	3
независимо от	9	6
и т	6	7
для него	10	5
в свою	6	2
для нас	31	14
как оно	2	2
нас в	2	2
новое восприятие	4	2
все это	2	5
при этом	13	15
внутренняя форма	4	2
в сознании	23	4
этого последнего	3	2
по крайней	5	5
света и	2	2
и потому	2	10
человека и	3	3
подобно тому	4	2
мысли о	4	2
по поводу	6	4
в ряду	6	6
с этим	7	7
и есть	2	3
что хотя	4	3
или что	2	2
уже в	5	5
их в	2	3
и как	6	2
что мы	11	10
самого начала	2	2
что слово	2	10
образом в	4	5
или если	2	2
того что	7	14
того как	7	6
том смысле	4	2
языка и	3	3
не менее	5	5
стало быть	4	8
все что	3	2
что он	4	4
тому как	4	2
столь же	5	2
так сказать	4	5
так что	10	5
сами по	7	2
тем не	6	4
только тогда	3	5
с тем	4	7
судя по	5	2
мысль о	7	6
в таком	4	4
не от	5	3
то же	12	14
внутренней формы	2	10
или от	2	3
и тот	2	3
если и	2	2
как бы	9	5
и их	5	3
для говорящего	2	3
в мысли	5	3
между ними	2	4
что в	16	17
во многих	3	2
и притом	3	2
уже не	4	3
к ней	2	2
и проч	10	18
в этом	8	23
сих пор	4	4
если б	5	4
должно быть	2	5
в нее	4	3
только от	3	3
в языке	3	16
бы ни	5	2
той же	3	3
в ребенке	4	2
еще не	4	3
но мы	3	2
в то	6	4
и для	3	2
и вообще	3	2
так как	10	14
и у	3	2
с другими	5	4
проч но	2	2
было бы	13	8
в сравнении	2	4
душевной жизни	7	3
в самом	4	3
мы бы	2	2
себе в	3	3
в нас	3	3
таким образом	11	24
а в	8	5
что если	6	6
вместе и	5	2
и вместе	4	3
из себя	2	2
без сомнения	4	4
которые не	3	2
до сих	4	4
мы говорим	3	7
тогда как	10	4
внешняя форма	3	3
на то	5	7
очевидно что	3	7
вовсе не	9	7
вопрос о	2	2
имеет для	3	5
то и	9	4
на вопрос	3	4
только потому	2	4
например в	3	3
все эти	2	3
в других	4	2
допустим что	2	5
не могут	7	2
точно так	9	2
внимание на	2	5
т п	3	4
но тем	3	2
между прочим	4	3
если мы	3	2
не в	13	11
должны быть	4	3
связь между	2	3
тогда когда	10	8
которые мы	3	2
у нас	2	2
на мысль	3	4
мы видим	2	2
т с	18	6
только как	6	4
и не	19	18
нашей мысли	8	3
находится в	3	5
и другое	4	2
человека в	3	2
что только	2	2
может быть	23	26
а между	4	4
слово с	2	6
членораздельный звук	9	3
такое же	2	2
отношений между	3	2
одном из	4	2
например что	2	2
даже и	2	3
и все	3	4
мы можем	12	10
в одном	6	4
состоит в	2	2
на самом	2	3
так в	4	3
его содержание	2	2
не как	3	2
о том	5	8
ко всем	2	3
нам кажется	4	2
что у	2	3
в себе	10	14
мы должны	2	2
не с	3	2
только в	11	15
бы в	2	2
но и	9	11
что не	5	6
образом мы	2	3
того чтобы	2	4
быть может	7	4
когда мы	2	6
не имеет	6	5
не то	2	5
в этих	3	3
то мы	2	3
что и	11	7
для того	5	6
как в	10	7
только для	5	2
то что	20	29
как и	7	14
т д	3	3
между собою	7	4
потому что	49	33
но даже	3	2
например с	2	2
что все	2	4
бы не	5	3
в которой	5	6
в каждом	2	3
один из	2	2
и это	2	2
и здесь	2	2
можно назвать	2	2
слова и	3	5
и сами	4	2
и его	2	2
и только	6	3
это было	2	2
внутреннюю форму	3	3
в слове	13	22
с ними	3	3
самом деле	2	3
не может	12	11
человеческой природы	2	2
было в	2	3
в обществе	2	2
могли бы	2	4
в его	2	5
но что	2	2
что есть	2	3
не есть	6	9
крайней мере	5	5
и если	4	3
не знаем	2	2
с ним	5	5
к другим	3	2
по себе	15	11
не только	15	10
том что	8	12
тем самым	4	4
и они	2	2
и тем	3	4
во время	4	2
в каком	3	4
в них	5	3
мере того	4	4
быть не	3	2
мысли в	3	2
могут быть	8	7
от того	5	4
тем что	7	10
ни был	2	3
для самого	4	2
хотя и	3	5
перед собою	2	2
мы не	11	8
указывает на	2	2
этого слова	6	7
в ней	3	2
а не	18	12
то это	3	8
представлений и	3	2
и других	2	3
же время	2	3
само по	2	5
и на	8	3
отношения между	2	2
во всяком	7	5
есть только	6	5
думать что	3	4
тому что	2	2
не было	6	12
и то	3	5
и следовательно	2	3
есть не	5	4
это последнее	4	4
чем более	3	3
в котором	4	4
по отношению	2	10
что его	3	2
в самой	3	2
же что	3	2
новых восприятий	2	2
только что	3	3
можно думать	2	2
для меня	4	10
собою и	2	2
что на	3	2
слова в	5	3
что язык	2	7
хотя бы	2	4
было связано	2	2
те же	3	3
мысли но	2	4
с известным	2	2
всяком случае	7	3
там где	4	3
превращается в	2	2
в том	18	23
как мысль	2	2
вообще и	2	3
но в	4	8
и что	4	7
что может	2	2
заключает в	4	8
с другой	6	2
от него	4	2
друг друга	2	2
в нашем	2	2
быть названо	2	4
и по	2	3
от одного	3	3
сказать что	2	8
и может	3	4
