3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_3gram
романа в целом	3	2
той или иной	3	6
по природе своей	2	2
о том что	6	3
как-то раз случилось	2	2
мы имеем дело	3	4
в отличие от	2	6
факторов художественного впечатления	6	5
тех или иных	2	2
по отношению к	4	5
в том что	6	9
того или иного	3	3
в таком случае	2	3
к тому же	4	4
подобно тому как	3	3
в этом отношении	3	2
в то же	2	8
в том или	2	2
с точки зрения	2	4
в данном случае	5	2
с другой стороны	2	2
мне как-то раз	2	2
с одной стороны	4	3
в конечном счете	2	4
то же время	2	6
организации литературного произведения	2	3
том или ином	2	3
состоит в том	4	3
