3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram
зависит от того	2	2
в свою очередь	4	3
точно так как	6	6
для того чтобы	2	3
что и в	3	3
и может быть	2	2
как бы ни	2	2
по мере того	3	3
сама по себе	3	2
там же с	7	6
так и в	3	2
только потому что	2	2
одной и той	3	2
и в языке	3	2
не в том	4	5
в том как	3	3
по крайней мере	2	5
и в том	3	2
в некотором смысле	2	2
как и в	2	2
по отношению к	13	5
только в том	6	3
в том что	13	16
не могут быть	2	2
к тому что	2	2
не только в	3	4
а в том	3	5
в таком случае	2	2
подобно тому как	3	2
не только не	2	2
в то же	3	5
humboldt т с	21	14
тем не менее	6	3
и той же	3	2
но и в	4	4
lotze т с	4	2
а между тем	3	2
только тогда когда	4	7
с другой стороны	5	4
смысле в каком	4	2
потому что не	4	3
и т п	2	2
само по себе	4	3
с одной стороны	3	3
так что например	3	2
и т д	4	3
заключает в себе	2	5
не может быть	9	3
но тем не	3	2
в том смысле	4	3
потому что мы	2	2
то же время	3	5
мере того как	3	3
не могла бы	2	2
