2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram
связи с	2	3
связанное с	2	2
так же	3	5
из коих	6	3
со стороны	3	8
к тому	7	4
с нею	2	4
для нас	20	9
к мысли	3	2
к сознанию	2	2
мысли о	2	4
с этим	6	7
и как	5	6
что слово	7	3
точки зрения	2	8
того как	4	6
том смысле	3	4
заключить что	2	2
остается только	2	4
от нас	3	2
что мысль	2	4
слова но	2	2
зависит от	6	5
в целом	3	2
как бы	3	6
себе представить	3	7
что в	17	22
уже не	6	2
же с	6	7
что как	2	3
но как	2	3
никак не	3	2
той же	2	3
души не	2	2
и о	2	2
могла бы	2	2
заставляет нас	2	2
некотором смысле	2	2
было бы	9	12
с понятием	2	2
только на	3	3
в нас	2	7
таким образом	14	13
а в	12	5
для мысли	4	2
для человека	4	2
вместе и	5	9
из себя	2	5
очевидно что	5	3
только потому	3	3
в других	2	2
жизни и	2	2
отношению к	5	13
steinthal с	6	4
с какою	4	2
и слова	2	2
на него	3	3
и понятия	3	2
в себе	16	13
только в	21	25
сколько и	2	3
не имеет	6	5
если не	4	2
и это	4	3
и его	4	5
в животном	3	2
он не	4	3
не может	6	22
самого себя	3	4
не есть	17	10
и если	2	2
по себе	16	10
что по	2	3
или же	4	3
и тем	5	3
а как	2	2
в них	5	3
мере того	3	3
быть не	2	4
тем что	7	9
есть уже	11	3
а только	3	4
язык не	2	5
не могла	2	2
же время	5	4
и следовательно	3	2
мысли и	2	9
известным образом	3	2
слова в	7	2
не существует	3	2
быть только	4	5
слова для	3	4
в том	32	26
над всеми	3	2
с ср	3	3
в понятии	2	2
все же	2	6
к одному	5	2
со словом	4	3
в природе	2	6
относится к	4	3
то оно	3	2
по мере	4	6
что это	4	3
и при	4	3
в словах	3	3
так и	11	13
душевной деятельности	2	4
и в	30	39
не будет	3	2
деятельности и	2	5
не можем	3	2
вместе с	12	8
она не	2	3
другой стороны	4	5
есть дело	2	2
при этом	3	6
представить себе	3	3
в сознании	15	3
словом и	5	2
и с	2	3
несомненно что	2	2
что мы	8	4
и наоборот	4	6
языка и	2	17
все что	4	2
тому как	5	4
с и	3	3
столь же	4	3
показывает что	2	3
с тем	7	5
только тогда	9	5
мысль о	5	2
в основании	2	3
к ней	5	2
в этом	10	15
не следует	5	5
должно быть	5	7
бы ни	3	4
в их	2	2
еще не	5	6
в то	10	4
в самом	8	3
об отношении	4	3
души и	2	5
что для	4	3
каждый раз	2	4
без слова	3	2
то и	6	7
т п	2	4
бы быть	2	4
связь между	2	2
так например	2	3
т с	22	25
и не	15	18
за пределы	2	2
членораздельный звук	3	2
мы можем	3	2
в одном	2	8
и без	7	3
бы в	2	4
но и	19	20
там же	6	9
того чтобы	3	2
для того	4	3
понятия и	2	3
в собственном	2	2
потому что	46	52
в которой	3	2
в каждом	3	4
создание языка	2	2
только не	2	2
слова и	5	4
тем более	4	2
в слове	32	8
в его	4	5
с ним	6	3
в коих	2	2
тем самым	7	4
в каком	5	6
согласно с	2	4
мы не	9	10
одной и	4	3
в ней	8	7
сравнительно с	5	2
никто не	3	3
что именно	4	2
но вместе	4	2
же в	2	2
мысль в	3	2
не было	4	4
это последнее	2	2
по отношению	5	13
можно думать	3	2
или в	3	2
что язык	2	16
в начале	3	2
что даже	4	2
есть понятие	2	2
а потому	6	10
заметить что	3	2
в действительности	5	4
что например	3	3
в нем	9	20
природы в	2	2
явлений и	2	3
оно не	4	3
несмотря на	2	5
в своей	2	3
с в	2	5
прежде всего	3	4
но это	6	5
