2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part2_wordlist_2gram
о связи	2	4
мы имеем	15	19
связи с	8	6
и ее	2	3
такой же	2	2
из этих	3	3
эти случаи	4	3
никогда не	15	3
как будто	3	2
не совсем	3	3
так же	13	3
нам важно	2	2
в нем	7	9
на смерть	2	3
видели что	3	4
она или	2	2
к нему	5	5
так и	5	2
его в	10	3
что она	5	5
это не	2	6
в лесу	15	26
после того	3	2
в свете	2	5
прежде всего	5	3
но это	4	3
в одной	4	3
очень часто	4	3
а то	2	2
и в	15	22
одна из	2	2
но не	2	7
frobenius а	3	3
в русской	5	3
в силу	2	2
вместе с	7	9
в избушке	9	3
в немецкой	2	3
этих случаях	10	7
к тому	5	3
сказке в	3	4
в качестве	3	2
она не	5	4
и т	19	16
для нас	4	4
должен был	3	3
здесь не	2	3
и так	2	2
здесь герой	4	3
другой стороны	2	7
см в	2	2
при этом	4	2
происходит в	2	2
дом в	2	7
знаем что	12	2
детей в	8	2
у него	4	3
живет в	2	5
связь с	4	6
связан с	5	2
герой в	3	2
связана с	6	3
в запретном	3	2
в царство	7	4
и другие	4	4
с этим	5	8
и с	4	4
и есть	5	2
что герой	5	3
в разбойничьем	3	2
да и	2	2
с одним	3	2
сказка сохранила	2	2
того что	3	5
указать что	3	3
не все	2	6
если это	3	3
что он	24	9
показывает что	4	5
после этого	4	2
так что	6	5
и эти	2	3
сказках типа	2	4
зп неи	2	4
запретном чулане	3	2
здесь можно	5	6
этим же	2	2
есть и	2	5
что они	10	8
дома не	3	3
с тем	9	2
то же	10	6
в вятской	4	4
а также	2	2
в русском	2	2
пермской сказке	2	6
и герой	2	2
представляет собой	5	3
здесь на	2	2
и говорит	2	9
сих пор	7	5
что в	12	15
нашей сказке	2	2
к ней	2	4
за него	2	2
в которых	2	2
в этом	11	17
представления о	5	2
некоторое время	2	3
что им	2	2
в нее	2	2
в жизни	2	2
доме в	2	3
дочери и	2	2
его и	4	4
видим что	5	4
у тебя	2	2
роль в	3	2
не мог	3	2
в обряде	7	5
с одной	4	2
на острове	2	3
есть ли	2	2
той же	2	2
я буду	3	2
этого мотива	5	4
еще не	9	10
видно что	6	2
и для	2	2
т е	29	16
этом случае	5	5
они не	4	4
что иное	2	3
имеем и	2	3
так как	14	7
в него	2	2
в тех	2	2
очень много	8	2
было бы	5	3
и др	4	2
на другой	2	2
таким образом	7	10
а в	12	6
в работе	3	2
в животное	2	3
из могилы	2	2
ее в	2	3
его на	2	2
до сих	6	5
уже с	2	3
но по	3	3
худ неи	2	2
на нее	2	3
дней и	2	2
вопрос о	4	2
а именно	3	4
ж ст	6	5
представляют собой	3	4
все эти	4	4
например в	2	2
из дома	4	2
в других	3	4
он и	3	3
в лес	27	12
все еще	2	6
в некоторых	2	5
точно так	6	2
как это	3	4
на столе	2	2
он видит	2	3
можно установить	2	5
увидим ниже	4	3
дочь в	5	2
между прочим	3	3
разбойничьем доме	2	2
не в	7	4
но есть	2	2
некоторых случаях	2	3
отправляется в	2	2
же можно	3	2
имеем в	5	4
отношению к	3	2
но все	5	2
в русских	3	3
мы видим	8	8
находится в	2	4
царство мертвых	6	3
всех этих	3	2
встречается в	3	2
и не	11	12
в лесной	4	4
возможно что	2	6
может быть	17	11
ни в	2	2
уже знаем	3	2
мы знаем	11	2
мы можем	8	6
в одном	5	2
на самом	2	2
состоит в	2	3
так в	3	6
мы рассмотрим	2	2
о том	3	3
в этой	4	5
при помощи	2	3
обряда посвящения	3	4
в связи	5	3
стоит в	3	2
я не	2	3
иное как	2	3
сказке девушка	2	4
мы должны	4	7
что у	2	3
сказке она	3	4
что здесь	4	6
только в	6	4
но и	14	12
не будем	4	3
яги и	2	4
в другом	9	2
не что	2	3
мы здесь	6	4
в пермской	2	6
в немецких	2	2
из них	2	7
в обрядах	2	3
у нее	4	2
представление о	2	3
то мы	2	2
лесном доме	2	3
выше мы	3	3
в доме	3	12
в этих	11	11
и более	2	2
должно было	3	2
что и	6	9
как в	5	2
новой гвинее	3	2
то что	12	7
с мотивом	3	7
мы видели	2	13
как и	2	3
мы увидим	8	3
потому что	9	3
в другой	4	4
т д	18	15
этот случай	4	8
один из	8	5
в особенности	2	2
как указывает	2	6
и это	3	2
молодых людей	3	2
и здесь	9	7
и пр	7	11
что яга	6	2
с обрядом	4	2
и его	3	4
в сказках	8	9
schurtz в	2	2
попадают в	4	2
ни один	2	2
с ними	2	3
в дом	3	12
он не	8	5
не может	5	4
русской сказке	6	2
не видит	3	2
вятской сказке	6	4
и она	3	3
в его	6	3
и то	2	2
когда герой	2	2
