3gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_3gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_3gram
в наше время	2	2
одной стороны и	2	2
той или иной	3	3
по природе своей	2	5
о блудном сыне	3	4
на мой взгляд	2	2
о том что	3	5
но при этом	2	3
в отличие от	12	4
в соответствии с	2	2
и как бы	2	3
в строгом значении	2	2
по отношению к	4	9
в том что	6	13
что же касается	2	2
в основе своей	2	2
подобно тому как	2	2
в то же	4	3
в данном случае	6	2
и того же	2	2
с одной стороны	4	9
не может быть	3	3
не было в	2	2
не сводится к	2	2
то же время	5	4
одного и того	2	2
состоит в том	2	2
не более чем	2	2
