2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
не так	3	2
ведь если	2	4
связи с	8	5
разного рода	2	4
том или	3	3
так же	5	5
в данном	9	10
как о	5	3
в заключение	3	2
того или	6	7
только одного	2	2
к тому	3	3
с нею	2	2
перед нами	8	2
для нас	16	9
та или	3	2
в настоящее	2	16
акта обозначения	2	5
совсем не	2	7
о которых	3	3
самого же	2	2
в результате	2	4
с этим	2	5
и как	3	4
что слово	2	3
но никак	3	2
едва ли	5	9
точки зрения	5	2
же самое	9	6
знак есть	6	11
от нас	2	3
что они	5	3
при условии	2	6
в целом	6	3
как бы	9	4
что в	8	11
уже не	7	8
же такое	3	4
бы то	4	2
отличается от	4	2
случае когда	2	2
ни с	4	2
определенным образом	2	2
кроме того	3	5
или другого	3	2
или как	3	2
но как	4	6
никак не	9	11
тех или	5	3
и о	5	4
имеет ничего	3	2
есть ни	3	3
с другими	3	5
заставляет нас	2	2
было бы	8	8
с понятием	3	2
только на	5	9
таким образом	9	4
то такого	2	2
а в	5	4
он является	3	2
и обозначаемого	2	2
но только	6	4
у нас	10	18
всех этих	2	4
чистом виде	2	3
как нечто	9	2
в связи	7	5
структуры и	3	2
в себе	8	5
ничем не	2	2
является не	2	2
только в	19	14
не будем	2	4
уж во	3	2
часто бывает	3	2
в языкознании	2	7
не имеет	9	7
и сам	5	2
не то	2	2
или иной	8	5
тоже является	5	4
а это	3	3
но даже	4	3
и значение	3	4
если не	3	4
и это	9	5
есть именно	5	5
и только	6	4
это будет	4	3
не может	7	13
самого себя	3	2
он не	8	2
это тоже	2	3
могли бы	4	3
не есть	35	33
и если	6	3
по себе	25	8
как только	3	3
эта последняя	2	2
и тем	9	4
содержит в	3	2
теории языка	3	12
нашего исследования	2	3
тем что	4	4
хотя и	5	3
а только	5	6
бесконечное число	2	2
говорим о	3	3
в условиях	3	2
собственно говоря	5	2
и следовательно	2	4
в том	21	12
но в	12	6
все равно	3	3
все же	6	8
самой собой	2	2
в частности	2	5
и ее	3	2
как будто	3	6
и при	2	2
знак то	2	4
из этого	3	2
его в	3	3
об этом	3	2
так и	10	7
говорить о	3	10
является в	2	2
и в	44	35
вместе с	2	2
значение и	5	8
в качестве	3	2
она не	3	3
здесь не	8	2
нас в	4	3
является здесь	2	2
другой стороны	5	5
все это	5	4
при этом	4	3
имеет никакого	3	2
знак и	3	21
и ни	3	3
и с	9	10
уже в	3	3
не являются	2	3
да и	5	10
что мы	8	14
гораздо более	5	4
определенного рода	5	6
языка и	4	5
же и	4	2
или ином	2	2
что он	9	4
на первый	4	4
также и	16	12
с тем	5	3
только тогда	2	3
это вовсе	4	2
в этом	17	17
и вполне	5	4
пока еще	2	9
о чем	2	6
мы и	2	6
в их	2	3
взятые сами	4	2
еще не	5	10
в то	9	6
что иное	4	3
как раз	8	8
в самом	3	5
другими словами	6	6
это и	7	3
слова это	2	2
что для	3	3
до сих	2	4
каждый раз	3	3
то и	5	4
теории знака	2	4
конце концов	3	7
во всех	2	2
значение в	3	4
и не	35	37
вещи и	7	2
смысле слова	8	7
в виде	6	6
только с	4	2
даже и	16	18
мы можем	6	6
самым мы	2	2
на самом	7	4
это значит	4	4
идет речь	3	2
как иначе	4	3
при помощи	8	8
совершенно не	4	2
обязательно есть	2	2
и без	4	5
не просто	23	11
бы в	2	3
но и	10	16
нечто более	2	2
при таком	2	2
тут же	4	8
друг от	2	2
потому что	25	13
и символом	3	2
что всякий	9	5
слова и	3	4
что знак	5	11
тем более	3	10
в слове	2	3
в его	9	7
в той	3	2
можно сказать	6	6
попросту говоря	3	4
тем самым	5	7
никак нельзя	2	3
в каком	4	4
были бы	2	2
мы не	7	7
указывает на	7	5
из которых	2	2
не был	2	4
в ней	5	2
никто не	2	3
а может	2	2
мы ни	2	2
не было	5	3
это за	3	2
знак нечто	2	3
от друга	2	2
или в	4	2
каком случае	2	3
это в	2	2
нет ничего	6	2
в таких	3	3
имеет значение	6	2
что такое	3	18
мы в	4	3
теорий знака	2	2
можно было	4	5
если же	3	3
нечто значит	5	3
прежде всего	3	11
этого термина	2	8
но это	8	6
но если	6	4
таком случае	4	10
но не	3	4
то есть	34	39
если бы	3	4
с которой	2	3
данном случае	7	5
и т	13	6
но вот	3	2
что оно	2	2
тоже не	5	7
по крайней	5	6
настоящее время	2	16
даже не	2	3
есть просто	2	2
так что	12	11
в таком	5	11
а также	4	2
столько же	2	2
и притом	4	3
человека но	3	2
языкознании и	2	3
можно ли	4	6
с одной	2	5
является чем-то	3	2
всякого рода	4	4
и для	2	6
этом случае	5	7
в тех	3	2
быть и	3	2
тоже еще	2	2
или иное	2	2
подобного рода	3	4
а именно	8	6
некоторого рода	10	7
языкового знака	3	9
самостоятельное значение	4	4
иной раз	3	3
или по	4	4
по своему	2	5
если мы	16	9
значит что	7	4
сам знак	2	4
или даже	5	3
иное как	4	3
мы должны	7	3
не является	11	7
не что	4	3
для этого	6	3
такое знак	2	6
что же	8	9
знак в	4	2
знаковой теории	3	14
и более	2	5
в этих	2	4
и особенно	2	2
то что	23	38
между собою	2	4
нас не	5	3
что все	2	6
будто бы	3	5
от всякого	2	2
знака к	2	7
и здесь	5	4
он сам	4	3
это было	2	2
заключается в	4	4
не только	14	24
том что	12	19
и знак	2	4
или другой	4	5
и символа	3	3
модель для	2	2
мы могли	4	2
той или	12	5
а не	18	10
и даже	14	11
или иная	3	2
бы мы	2	2
то это	10	3
говорить здесь	2	2
само по	3	2
есть только	4	8
во всяком	9	13
сама по	8	4
ни о	3	4
от его	2	2
для себя	2	9
мы возьмем	3	2
ничего не	3	10
в чистом	3	3
всяком случае	6	10
состоит из	5	2
и вовсе	4	6
и от	9	3
в нашем	5	3
просто как	2	3
однако это	2	2
сказать что	16	24
мы уже	4	3
и слишком	2	2
необходимо сказать	3	6
для них	2	3
слова как	2	3
есть в	3	4
как на	2	2
только при	4	2
есть нечто	8	7
раз и	4	5
нами в	2	2
есть то	3	5
понятия знака	2	5
тоже нечто	2	3
обозначаемого и	2	2
тоже есть	4	5
по поводу	2	2
и есть	5	4
значение знака	2	2
общего с	3	2
того что	8	12
знака и	4	15
в отношении	2	4
не менее	10	13
только то	2	3
в своем	5	4
к понятию	2	3
что при	2	4
сами по	6	2
тем не	10	12
отдельно от	3	2
может иметь	3	2
символа в	3	2
и является	4	3
то же	13	5
сих пор	2	4
время и	2	2
то или	3	3
или иного	3	5
не значит	3	2
ничего общего	7	3
и вообще	8	16
так как	9	7
но уже	3	5
случае не	3	4
