3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram
сказать что в	3	2
в конце концов	3	3
и в самом	2	2
надо сказать что	3	3
на то что	8	6
во всяком случае	6	3
для того чтобы	5	19
и если мы	2	2
к тому чтобы	3	3
о том что	7	10
сама по себе	2	3
в сущности говоря	3	2
смысле этого слова	2	3
одной и той	3	2
с таким образом	8	2
на самом деле	2	5
заключается в том	6	3
легко показать что	2	2
то время как	5	2
все то что	3	11
мы видим что	2	2
в том что	9	12
в то время	5	2
вместе с тем	2	2
мы никогда не	4	3
в какой мере	3	2
в самом деле	7	7
не только не	3	2
с точки зрения	2	4
и той же	3	2
то же самое	2	6
так же точно	3	5
на то чтобы	2	2
с другой стороны	5	2
и т п	15	3
с одной стороны	5	3
потому что он	2	2
и т д	8	2
точно так же	3	3
никак не может	2	2
совершенно ясно что	14	3
так же как	4	3
до сих пор	3	3
в том чтобы	7	3
