3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram
и в самом	4	2
что же до	2	2
для того чтобы	11	15
о том что	3	5
на мой взгляд	3	2
в зависимости от	7	5
так и в	3	2
в свое время	2	2
т е как	3	4
на самом деле	3	2
не в том	2	4
по отношению к	2	8
только в том	2	3
в том что	8	15
в области языка	2	2
того или иного	3	3
в самом деле	11	7
в первую очередь	3	2
с точки зрения	16	9
в русском языке	2	4
тем не менее	9	4
в этом случае	4	2
и того же	2	2
с другой стороны	3	6
можно было бы	10	3
а с другой	3	3
то обстоятельство что	3	8
и т п	41	18
и т д	8	14
в связи с	4	3
не может быть	3	3
более или менее	2	3
до сих пор	8	4
в том чтобы	3	8
одного и того	2	2
