2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram
между тем	5	2
в зависимости	3	2
никогда не	5	2
как будто	3	2
наконец в	2	2
в нем	20	10
есть в	3	3
его в	4	2
так и	10	6
в своей	11	3
несмотря на	6	2
это не	10	6
для достоевского	6	3
с точки	15	2
прежде всего	7	15
говорить о	2	2
в форме	6	6
но это	5	3
в одной	4	2
и в	23	53
но не	8	5
одна из	2	7
зависимости от	3	2
вместе с	2	2
то есть	24	48
тот же	2	2
перед нами	4	5
углом зрения	2	4
именно в	6	2
все это	7	8
при этом	3	3
и одновременно	3	4
в сознании	2	2
и потому	3	5
и другие	2	9
достоевского мы	4	4
и с	4	6
уже в	5	2
да и	2	2
самого начала	3	4
точки зрения	21	4
что он	10	4
так сказать	3	5
в большинстве	2	4
из подполья	11	5
то же	10	6
к этому	2	4
как бы	28	14
и их	2	2
во все	3	5
между ними	2	2
сих пор	2	5
что в	8	2
произведениях достоевского	5	3
творчестве достоевского	5	5
мировой литературы	2	3
в этом	25	8
произведения достоевского	2	3
мы остановимся	3	2
авторской позиции	3	2
в жизни	6	8
у бальзака	2	3
и уже	3	2
кроме того	3	3
той же	6	5
он в	2	2
в их	3	2
в духе	3	8
в мире	7	5
еще не	5	5
в то	10	5
и для	3	4
они не	3	3
так как	7	7
и у	4	7
с другими	7	3
романы достоевского	3	2
было бы	6	5
с их	5	2
в самом	8	2
таким образом	11	6
менее всего	4	2
а в	7	2
до достоевского	2	3
и тон	2	2
в литературе	3	5
у достоевского	24	17
человеческой жизни	2	3
его творчества	7	6
до сих	2	5
вовсе не	8	3
и т.п	3	31
в творчестве	5	8
как мы	5	5
произведений достоевского	7	2
все эти	8	9
например в	3	5
жизни и	6	9
нет ни	2	2
достоевского в	19	3
во всех	5	12
не в	6	2
его произведений	2	3
себе самому	3	6
мы видим	3	2
и не	34	15
человека в	5	3
для других	2	2
может быть	21	12
вот что	2	2
себя самого	4	3
в себя	3	6
и наконец	5	2
подходе к	2	2
о себе	9	2
большинстве случаев	2	4
и все	3	10
к себе	2	6
все то	4	3
о том	2	2
и во	2	4
его творчестве	2	2
более того	3	6
по существу	4	5
и к	4	5
с самого	2	3
я не	3	4
в себе	5	5
мира и	7	2
мы должны	2	4
линии развития	2	3
ивана карамазова	5	4
только в	8	4
себя и	2	2
но и	11	7
для понимания	3	2
в истории	2	3
сказать что	5	10
из них	2	4
как он	2	2
творчество достоевского	3	2
в этих	2	5
что и	5	3
как в	6	7
творчества достоевского	7	10
слово в	2	2
то что	18	9
как и	8	11
потому что	12	5
его творчество	4	2
достоевского и	12	6
в которой	4	2
в каждом	8	4
один из	2	6
в области	3	3
сочетается с	3	3
и это	5	3
он сам	3	4
и его	13	10
он не	4	3
не может	11	2
в его	24	8
сущности только	2	2
одним из	8	3
в той	6	2
с ним	6	2
с его	6	2
не только	13	4
том что	9	5
достоевский был	4	4
можно сказать	2	8
к человеку	2	2
и тем	2	2
в них	3	2
в своих	2	2
тем что	3	2
а не	20	11
их в	2	2
мы не	2	4
и даже	3	2
и других	5	9
как у	2	5
же время	7	5
и на	10	18
что именно	2	2
героев достоевского	3	2
в условиях	2	4
это очень	3	4
не было	3	4
самим собою	2	4
идеи в	7	2
по отношению	11	2
в конце	5	3
хотя бы	2	2
ничего не	6	6
но они	4	4
в основе	5	5
в один	2	2
он умел	4	2
в том	11	14
но в	4	5
здесь мы	2	2
во всей	2	4
конечно и	4	4
в смысле	2	2
на его	2	3
с другой	2	2
достоевского с	7	3
но он	2	2
в сущности	5	10
и по	2	3
все равно	2	4
мы уже	2	5
человек и	2	2
