3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
одной стороны и	2	3
эгоцентрическая речь ребенка	4	5
от социальной речи	3	5
эгоцентрической речи ребенка	2	5
в развитии мышления	4	2
на то что	6	4
по сравнению с	5	7
для того чтобы	10	18
в собственном смысле	3	3
о том что	4	4
в отличие от	3	2
смысле этого слова	3	3
друг с другом	2	2
как раз в	2	2
заключается в том	7	4
мышлением и речью	5	2
на самом деле	2	2
мы не можем	3	3
на всем протяжении	2	4
от внешней речи	3	3
мы могли бы	4	4
по отношению к	5	5
мышление и речь	2	2
об эгоцентрической речи	2	2
в том что	21	13
мышления и речи	9	6
в этом отношении	3	3
что эгоцентрическая речь	3	8
в учении о	4	6
в самом деле	4	4
речи к внутренней	3	2
все что мы	4	3
в начале развития	2	3
с точки зрения	18	21
из того что	4	2
то же самое	2	5
в последнее время	4	2
в данном случае	3	5
по этому поводу	3	3
том что в	2	2
по своей психологической	3	3
между мышлением и	5	2
с одной стороны	7	5
потому что он	2	2
друг от друга	2	2
не может быть	6	4
речевого развития ребенка	2	2
в конечном счете	4	2
же самое что	2	2
той и другой	2	3
состоит в том	3	3
