3gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_3gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_3gram
в наше время	2	2
одной стороны и	2	2
той или иной	3	3
по природе своей	5	2
о блудном сыне	4	3
на мой взгляд	2	2
о том что	5	3
но при этом	3	2
в отличие от	4	12
в соответствии с	2	2
и как бы	3	2
в строгом значении	2	2
по отношению к	9	4
в том что	13	6
что же касается	2	2
в основе своей	2	2
подобно тому как	2	2
в то же	3	4
в данном случае	2	6
и того же	2	2
с одной стороны	9	4
не может быть	3	3
не было в	2	2
не сводится к	2	2
то же время	4	5
одного и того	2	2
состоит в том	2	2
не более чем	2	2
