3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram
в этом ряду	2	2
той или иной	6	3
о том что	3	5
мы имеем дело	4	4
в отличие от	6	2
в свое время	2	2
по отношению к	5	7
в том что	9	7
в этом отношении	2	3
к тому же	4	3
подобно тому как	3	2
том что он	2	2
в то же	8	3
с точки зрения	4	2
в данном случае	2	3
и того же	2	3
с другой стороны	2	5
с одной стороны	3	2
на наш взгляд	6	2
в конечном счете	4	2
то же время	6	3
одного и того	2	3
не более чем	4	2
