2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram
или не	4	5
никогда не	2	9
так же	4	4
оно есть	4	2
со стороны	3	2
в данном	3	3
как о	2	2
и та	3	3
есть символ	5	3
есть тоже	2	2
та или	3	3
по сравнению	2	2
с этим	3	2
– не	5	11
или что	2	2
и как	4	7
точки зрения	14	17
отношения к	3	3
стало быть	15	9
мы получаем	2	2
есть выдумка	2	2
есть и	3	5
что они	4	3
при условии	2	3
как бы	14	11
что в	7	13
уже не	9	2
– совершенно	4	2
этом смысле	4	3
что мифология	2	8
ни с	4	6
– это	5	9
мифа и	6	2
есть своя	2	2
но как	2	2
никак не	2	6
тех или	4	3
и о	8	3
имеет ничего	2	3
есть ни	9	6
было бы	9	12
для мифического	2	6
понятия мифа	4	3
что если	3	2
это –	25	24
как таковом	3	2
миф не	8	14
что я	5	3
только потому	3	3
жизни и	4	3
как таковой	5	4
невозможна без	2	2
но только	5	3
как смысл	2	3
и другое	2	2
не говорит	5	4
конечно не	2	3
тут не	2	4
двух планов	2	2
о мифе	3	4
в себе	8	11
и тогда	2	2
что здесь	3	2
только в	7	3
ровно ничего	7	5
как не	2	2
от этого	3	3
отношении к	2	3
жизнь и	2	3
и –	9	14
не имеет	14	15
что миф	5	12
всегда и	3	3
сравнению с	2	2
и это	8	2
говорит о	3	5
не может	11	12
но что	5	3
не есть	40	40
по себе	13	25
как только	5	2
миф и	3	4
– в	15	4
в них	2	3
может и	2	4
смысл и	3	4
хотя и	6	4
это или	2	2
же время	6	4
собственно говоря	2	4
я утверждаю	4	4
и следовательно	3	2
в котором	2	4
или других	3	2
для меня	2	4
в том	11	9
но в	3	6
– то	3	2
все равно	2	3
все же	2	5
в частности	2	2
мы имеем	5	2
как таковая	2	2
что это	13	11
и при	2	2
так и	5	9
об этом	3	4
но –	8	4
с точки	9	12
говорить о	11	5
не о	4	4
и в	15	18
в качестве	2	2
она не	4	6
миф есть	10	4
другой стороны	2	4
все это	9	11
то в	5	7
имеет никакого	2	3
и ни	2	6
и с	4	5
со всей	2	2
да и	2	6
нет ровно	2	6
не нужно	2	2
же и	2	2
что он	7	11
также и	4	7
только тогда	5	2
и жизни	2	4
утверждаю что	5	5
в этом	11	12
на себе	5	3
должно быть	2	3
в мифе	6	12
это есть	13	9
науки и	2	5
в их	3	3
еще не	4	2
в то	6	6
т е	46	25
этой точки	2	2
как раз	4	4
в самом	2	3
другими словами	5	2
это и	9	4
или нет	3	3
то и	2	2
себе и	2	2
и не	30	30
вещи и	2	2
в виде	3	2
и из	2	3
даже и	3	3
мы можем	3	4
это значит	8	11
