3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram
сказать что в	2	3
в конце концов	3	3
и в самом	2	2
надо сказать что	3	3
на то что	6	8
во всяком случае	3	6
для того чтобы	19	5
и если мы	2	2
к тому чтобы	3	3
о том что	10	7
сама по себе	3	2
в сущности говоря	2	3
смысле этого слова	3	2
одной и той	2	3
с таким образом	2	8
на самом деле	5	2
заключается в том	3	6
легко показать что	2	2
то время как	2	5
все то что	11	3
мы видим что	2	2
в том что	12	9
в то время	2	5
вместе с тем	2	2
мы никогда не	3	4
в какой мере	2	3
в самом деле	7	7
не только не	2	3
с точки зрения	4	2
и той же	2	3
то же самое	6	2
так же точно	5	3
на то чтобы	2	2
с другой стороны	2	5
и т п	3	15
с одной стороны	3	5
потому что он	2	2
и т д	2	8
точно так же	3	3
никак не может	2	2
совершенно ясно что	3	14
так же как	3	4
до сих пор	3	3
в том чтобы	3	7
