3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
в свою очередь	3	3
по сравнению с	5	5
для того чтобы	14	15
не в состоянии	4	2
вместо того чтобы	3	2
о том что	4	6
в сущности говоря	4	2
в зависимости от	2	2
пороге школьного возраста	4	2
на пороге школьного	4	2
в такой же	3	3
друг с другом	7	4
в другом месте	4	6
заключается в том	5	6
в теории пиаже	2	3
то время как	4	4
на этот вопрос	4	2
на всем протяжении	2	2
именно в этом	2	2
и в частности	2	2
того факта что	2	2
по отношению к	12	7
мы могли бы	6	5
в том что	11	15
в то время	4	5
для современной психологии	2	3
от того что	2	2
вместе с тем	2	5
связей и отношений	3	2
в этом отношении	5	4
том что он	2	2
в самом деле	2	2
на вопрос о	3	2
с точки зрения	9	18
с самого начала	5	8
является то что	2	2
из того что	4	5
то же самое	4	3
такой же мере	3	3
можно сказать что	5	4
в известном смысле	7	2
с другой стороны	2	9
том что в	2	2
в высшей степени	2	4
можно было бы	3	3
а с другой	2	2
мы не станем	2	4
ответ на этот	2	2
таким образом что	2	3
с одной стороны	3	8
в школьном возрасте	18	3
друг от друга	4	3
не может быть	3	5
так же как	7	5
развития научных понятий	2	2
до сих пор	3	4
могли бы сказать	2	2
