2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram
или не	2	5
никогда не	9	9
так же	2	4
к нему	4	8
оно есть	3	2
в данном	3	3
и та	6	3
к тому	2	4
одно и	4	4
та или	2	3
с этим	3	2
– не	9	11
грань между	3	2
и как	10	7
точки зрения	12	17
стало быть	10	9
мы получаем	2	2
есть и	6	5
что они	6	3
как бы	14	11
что в	7	13
уже не	3	2
оно или	2	2
– совершенно	3	2
ни с	4	6
– это	6	9
мифа и	4	2
но как	5	2
тех или	2	3
то как	3	3
есть ни	6	6
было бы	3	12
а в	4	5
что если	3	2
это –	23	24
миф не	22	14
что я	2	3
только потому	2	3
мифического сознания	3	15
жизни и	6	3
как таковой	4	4
итак миф	2	2
но только	3	3
всех этих	3	3
– итак	2	2
конечно не	6	3
тут не	3	4
действительность есть	2	2
в себе	15	11
и тогда	3	2
что здесь	2	2
только в	5	3
от этого	3	3
как не	2	2
жизнь и	5	3
и –	4	14
не то	5	6
что миф	5	12
в науке	2	3
и это	5	2
более или	2	3
он не	4	3
не может	9	12
но что	7	3
не есть	47	40
по себе	18	25
как только	3	2
миф и	2	4
– в	8	4
содержит в	4	3
может и	2	4
смысл и	2	4
а только	3	3
же время	5	4
в мифологии	4	4
собственно говоря	2	4
и следовательно	5	2
наука и	2	4
или других	2	2
в том	14	9
но в	2	6
есть миф	4	2
– то	2	2
все равно	5	3
все же	4	5
в частности	2	2
мы имеем	3	2
что это	10	11
и при	2	2
– во	2	2
так и	10	9
об этом	3	4
но –	5	4
с точки	8	12
одна и	4	2
говорить о	5	5
и в	19	18
она не	8	6
а потом	4	5
миф есть	6	4
чтобы не	6	2
другой стороны	4	4
все это	4	11
и с	5	5
да и	6	6
на всю	2	4
же и	9	2
что он	6	11
необходимая категория	2	2
также и	2	7
нуждается в	3	3
только тогда	7	2
не будучи	2	2
в этом	8	12
должно быть	7	3
в мифе	16	12
о чем	3	2
это есть	8	9
в их	2	3
в мире	2	2
еще не	4	2
в то	6	6
т е	30	25
у пушкина	2	4
как раз	5	4
он –	6	18
и надо	2	2
в самом	5	3
это и	3	4
или нет	3	3
до сих	2	2
большею частью	2	2
т п	2	2
себе и	3	2
и не	30	30
пространства и	7	2
вещи и	3	2
в виде	2	2
и из	3	3
на самом	2	3
это значит	8	11
не как	2	2
совершенно не	7	8
– мы	3	3
как же	3	5
не просто	12	7
ни на	2	6
но и	12	7
в другом	4	2
что тут	4	2
потому что	14	14
в каждом	2	2
не могу	6	4
с ними	2	2
с ним	4	6
можно сказать	5	6
это может	2	2
в каком	4	8
же как	3	2
в ней	2	3
это за	3	2
не было	3	6
и совершенно	2	2
быть в	4	2
живой и	2	2
каком случае	2	4
с мифологией	2	3
же это	4	3
что такое	3	10
это мы	2	4
для мифа	2	2
в нем	10	16
несмотря на	2	10
в своей	8	2
что она	14	7
это не	10	9
прежде всего	8	10
но это	7	8
но не	6	4
можно только	2	2
если в	2	3
и т	17	21
– и	3	3
но вот	2	3
именно в	2	2
что оно	4	5
внутреннего и	2	9
по крайней	9	4
есть сама	4	2
иметь в	2	3
он всегда	2	2
есть просто	3	3
так что	7	15
есть мифология	2	3
на этом	2	2
не мешает	5	4
и мифология	4	5
и их	3	2
и притом	7	4
должна быть	5	3
с одной	2	2
нисколько не	4	4
и внешнего	2	6
быть и	4	4
или иное	4	3
вопрос о	3	2
нет ни	3	2
есть всегда	11	4
иной раз	5	2
или по	2	2
если мы	2	2
мы видим	2	4
только как	3	2
даже в	3	3
значит что	12	14
аллегория но	2	2
разную степень	3	2
– все	2	6
в разных	3	3
я не	6	5
мы должны	2	5
что не	6	7
миф –	2	9
оно –	2	3
дело не	2	2
что же	2	3
как он	4	4
и более	3	4
в этих	3	5
ровно никаких	2	2
то что	14	13
если она	2	3
между собою	3	2
и где	3	2
и пр	5	5
мифа но	3	5
это было	3	2
не нуждается	4	5
ни вообще	2	2
мифология –	2	4
не только	19	13
том что	10	9
или другой	3	4
уже и	2	3
могут быть	4	3
эти два	2	2
той или	4	7
а не	16	14
мы находим	3	7
и даже	14	13
или иная	2	3
то это	2	4
и стало	5	2
само по	2	5
он есть	3	4
есть только	4	5
во всяком	2	4
сама по	7	8
ни о	2	5
себе не	3	5
ничего не	3	17
мифологии и	7	5
всяком случае	2	2
это конечно	4	2
и от	3	2
сказать что	10	10
и может	6	2
сам по	3	6
д и	2	2
есть нечто	8	10
вещей и	3	2
думают что	2	6
мифология и	3	3
и потому	5	3
и есть	4	16
того что	6	2
не менее	3	2
в чем	3	6
только то	4	4
в своем	4	5
была бы	3	3
или на	2	2
она –	8	3
может иметь	3	3
потом уже	2	3
то же	12	10
в противоположность	2	5
сих пор	2	2
есть бытие	3	3
то или	4	3
мифологии не	2	2
есть научное	2	2
и говорить	2	2
не значит	3	3
и вообще	6	4
так как	14	11
и мы	3	5
мы говорим	3	4
существо мифа	3	2
вовсе не	13	7
как мы	3	4
все эти	2	2
как это	7	4
только и	2	4
не в	8	6
сознания и	5	3
но все	2	3
всегда есть	2	2
может быть	20	17
его с	3	3
ни в	10	15
не больше	4	2
и все	12	3
в одну	5	3
о том	5	4
что уже	2	2
из них	3	2
что и	5	3
как в	2	2
как и	10	2
т д	15	19
ясно что	4	8
она есть	9	5
самом деле	4	3
крайней мере	9	4
и то	7	9
та же	4	3
отнюдь не	6	9
в виду	5	5
построение но	2	3
мифологией и	6	2
это я	2	4
бы и	2	2
идея и	2	7
тому что	2	3
есть не	7	3
только что	5	3
в конце	2	4
или менее	2	3
хотя бы	4	6
и почти	3	3
и тут	3	3
же –	4	2
– как	2	5
и что	5	12
с другой	5	6
и вот	4	6
время как	7	2
то не	3	2
его не	2	6
