3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram	Losev_DialektikaMifa_partition_part4_wordlist_3gram
есть не что	5	2
той или другой	3	3
и стало быть	4	4
сам по себе	2	3
не говоря уже	3	2
т е в	2	3
сама по себе	5	7
и все на	2	2
не есть специально	3	2
не есть религия	2	2
по крайней мере	7	9
субъекта и объекта	4	4
говоря уже о	3	2
та или иная	2	2
и в частности	2	2
не что иное	8	3
в том что	9	6
не есть ни	9	6
вовсе не в	2	3
ни в каком	4	3
от того что	2	2
и можно сказать	2	2
или по крайней	3	2
то или иное	3	4
д и т	2	2
она не есть	3	2
между мифологией и	2	5
в то же	6	3
с точки зрения	9	8
это значит что	7	8
иметь в виду	2	2
тем не менее	2	2
тем или другим	2	2
тех или других	3	2
все на свете	3	4
только тогда когда	4	4
имеется в виду	3	2
само по себе	4	2
т д и	3	2
и т д	15	15
не может быть	6	3
за пределы мира	2	2
что иное как	8	3
как и все	2	2
то же время	6	4
сознания и бытия	2	3
миф не есть	8	19
