2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram
не так	3	3
в создании	3	3
связи с	6	3
никогда не	4	4
так же	2	5
влияние на	4	2
со стороны	3	8
с нею	2	4
для нас	31	9
к мысли	2	2
то все	4	2
как кажется	4	3
о которых	3	2
есть явление	3	2
мысли о	4	4
с этим	7	7
но на	2	2
и как	6	6
самого начала	2	3
что слово	2	3
того как	7	6
том смысле	4	4
стало быть	4	2
заключить что	2	2
остается только	2	4
сравнении с	2	2
слова но	2	2
зависит от	2	5
в целом	3	2
как бы	9	6
себе представить	2	7
мы называем	3	2
во многих	3	2
что в	16	22
уже не	4	2
в жизни	2	3
этом смысле	2	4
можно заметить	3	2
а вместе	4	3
той же	3	3
могла бы	3	2
было бы	13	12
в нас	3	7
таким образом	11	13
звуки и	2	2
а в	8	5
что если	6	3
вместе и	5	9
из себя	2	5
его на	2	2
и б	2	2
очевидно что	3	3
только потому	2	3
в других	4	2
оно должно	3	2
у нас	2	2
steinthal с	2	4
и другое	4	3
на него	3	3
в себе	10	13
только в	11	25
имеет место	2	2
не имеет	6	5
только для	5	3
каждому из	2	2
если не	4	2
и это	2	3
и его	2	5
и только	6	2
в животном	2	2
это будет	3	2
не может	12	22
человеческой природы	2	3
могли бы	2	2
не есть	6	10
и если	4	2
по себе	15	10
или же	7	3
и тем	3	3
в них	5	3
мере того	4	3
быть не	3	4
мысли в	3	9
тем что	7	9
хотя и	3	3
а только	8	4
же время	2	4
и следовательно	2	2
слова в	5	2
каждое мгновение	2	2
быть только	2	5
слова для	2	4
в том	18	26
но в	4	9
но он	2	2
все же	5	6
ни было	3	2
в природе	5	6
само собою	2	2
относится к	3	3
к языку	4	2
что это	3	3
по мере	5	6
и при	3	3
в словах	3	3
так и	5	13
и в	24	39
не можем	6	2
вместе с	11	8
помнить что	3	3
значение и	2	2
другой стороны	2	5
при этом	13	6
в сознании	23	3
к которому	2	3
что мы	11	4
и наоборот	5	6
языка и	3	17
все что	3	2
тому как	4	4
столь же	5	3
только тогда	3	5
с тем	4	5
мысль о	7	2
вытекает из	2	2
не имеют	2	5
к ней	2	2
в этом	8	15
и неудовольствия	2	4
должно быть	2	7
бы ни	5	4
еще не	4	6
в то	6	4
в сравнении	2	3
в самом	4	3
души и	4	5
и звука	3	4
мы принуждены	2	2
что для	3	3
при других	2	3
которые не	3	2
то и	9	7
во всех	7	5
т п	3	4
бы быть	3	4
связь между	2	2
так например	3	3
т с	18	25
