3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram
в русской сказке	2	3
в ином мире	4	2
таким образом мы	2	2
о том что	2	4
но все же	2	4
мы видим что	4	4
как и в	2	2
по отношению к	2	2
в этих случаях	7	6
в том что	5	2
здесь мы имеем	3	3
не будем здесь	2	2
тем не менее	5	4
в этом случае	5	7
в данном случае	3	2
с другой стороны	7	8
в некоторых случаях	3	2
аф неи в	2	2
с одной стороны	2	7
и т д	15	18
мы увидим ниже	2	3
в связи с	3	4
все эти материалы	2	3
до сих пор	5	2
что и в	2	2
мы видели что	3	2
