3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_3gram
в русской сказке	5	2
в ином мире	5	4
мы имеем в	4	2
таким образом мы	2	2
о том что	5	2
и в других	2	2
но все же	2	2
то время как	2	2
мы видим что	3	4
как и в	2	2
в этих случаях	10	7
в том что	4	5
здесь мы имеем	2	3
в то время	2	2
в ином царстве	6	2
что в сказке	2	3
и здесь мы	2	2
в русских сказках	2	2
быть поставлен вопрос	2	2
тем не менее	4	5
в данном случае	3	3
с пребыванием в	3	2
с другой стороны	8	7
мы уже знаем	3	2
еще не все	3	3
с одной стороны	4	2
другой стороны и	2	3
и т д	16	15
точно так же	2	2
но тем не	2	2
что и здесь	3	2
случай мы имеем	3	2
до сих пор	2	5
что и в	2	2
