3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram
зависит от того	2	2
в свою очередь	3	4
точно так как	6	6
для того чтобы	3	2
что и в	3	3
и может быть	2	2
как бы ни	2	2
по мере того	3	3
сама по себе	2	3
там же с	6	7
так и в	2	3
только потому что	2	2
одной и той	2	3
и в языке	2	3
не в том	5	4
в том как	3	3
по крайней мере	5	2
и в том	2	3
в некотором смысле	2	2
как и в	2	2
по отношению к	5	13
только в том	3	6
в том что	16	13
не могут быть	2	2
к тому что	2	2
не только в	4	3
а в том	5	3
в таком случае	2	2
подобно тому как	2	3
не только не	2	2
в то же	5	3
humboldt т с	14	21
тем не менее	3	6
и той же	2	3
но и в	4	4
lotze т с	2	4
а между тем	2	3
только тогда когда	7	4
с другой стороны	4	5
смысле в каком	2	4
потому что не	3	4
и т п	2	2
само по себе	3	4
с одной стороны	3	3
так что например	2	3
и т д	3	4
заключает в себе	5	2
не может быть	3	9
но тем не	2	3
в том смысле	3	4
потому что мы	2	2
то же время	5	3
мере того как	3	3
не могла бы	2	2
