3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
на то что	4	6
по сравнению с	14	5
для того чтобы	8	10
ступень в развитии	4	3
то что он	2	2
в зависимости от	5	6
друг с другом	5	2
как раз в	2	2
заключается в том	5	7
на этот вопрос	2	5
мы могли бы	9	4
по отношению к	10	5
в том что	19	21
в этом отношении	3	3
в том же	2	2
с точки зрения	10	18
из того что	3	4
то же самое	6	2
в последнее время	2	4
нам думается что	5	2
можно было бы	5	5
мы не станем	2	2
потому что он	4	2
в своем развитии	4	2
как увидим ниже	2	2
в связи с	2	6
не может быть	2	6
в этом смысле	2	2
мы видим в	2	2
мы видели что	3	3
состоит в том	2	3
