3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram
одно и то	3	6
одной стороны и	3	2
и тем же	2	3
по своему значению	2	3
на то что	4	4
в свою очередь	2	2
по сравнению с	7	3
для того чтобы	18	5
в собственном смысле	3	7
о том что	4	3
детского мышления и	2	4
между словом и	8	2
в отличие от	2	2
том что они	2	2
к выводу что	2	2
и то что	3	4
одной и той	2	4
смысле этого слова	3	7
же как и	2	4
друг с другом	2	7
заключается в том	4	14
и тем самым	4	4
на всем протяжении	4	2
мы могли бы	4	9
как мы видели	3	2
в том что	13	31
вместе с тем	4	3
в этом отношении	3	7
с этой точки	4	4
в самом деле	4	6
не только не	9	5
вместе с возрастом	4	2
предметной отнесенности и	2	2
содержит в себе	3	2
с точки зрения	21	11
одним и тем	2	3
и той же	2	4
то же самое	5	7
в этом случае	14	3
бы сказать что	2	3
этой точки зрения	4	4
в данном случае	5	2
собственном смысле этого	3	4
с одной стороны	5	9
точно так же	2	3
так же как	7	5
развития научных понятий	2	8
могли бы сказать	2	2
и то же	3	6
состоит в том	3	3
