3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram
ли сказать что	2	2
есть не что	3	2
и не просто	5	2
в конце концов	7	4
всякий знак есть	5	2
так или иначе	6	2
а не просто	2	4
взятые сами по	2	2
не о чем	3	2
на то что	4	8
во всяком случае	10	3
то есть в	2	4
же самое время	4	4
для того чтобы	2	8
в каком случае	3	3
о том что	14	5
вовсе не является	3	3
не говоря уже	4	2
сама по себе	4	4
но если мы	2	2
и то что	7	2
на самом деле	2	4
по крайней мере	6	2
уж тем более	5	2
можно ли сказать	2	2
то что мы	7	6
и вовсе не	4	4
в настоящее время	16	3
в том что	4	5
не есть ни	3	5
который вовсе не	2	2
не что иное	3	2
необходимо сказать что	5	2
ни в каком	4	3
того или иного	5	2
в таком случае	10	6
подобно тому как	2	2
и в этом	3	2
не имеет ничего	2	2
в самом деле	2	2
не только не	2	3
когда мы говорим	2	2
в то же	4	4
только то что	3	4
содержит в себе	2	7
сами по себе	2	3
тем не менее	12	18
имеет ничего общего	2	2
даже и не	2	2
то же самое	5	9
в этом случае	7	2
ничего общего с	2	7
то во всяком	2	2
в этой области	3	2
в данном случае	5	8
каком случае не	2	2
также и то	2	2
как раз и	4	7
с другой стороны	5	3
по этому поводу	2	3
можно было бы	2	2
можно сказать что	3	3
взятая сама по	2	4
еще не есть	2	4
общего между собою	2	4
и т д	6	10
в связи с	5	4
точно так же	3	4
не может быть	3	2
а может быть	2	2
что иное как	3	2
но в таком	3	4
так же и	2	3
в этом смысле	5	6
более или менее	4	3
может быть и	2	3
до сих пор	4	3
вовсе не есть	10	6
