3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram
в конце концов	2	3
той или иной	3	2
друг на друга	2	2
и сам знаю	3	3
сама по себе	4	2
в отличие от	4	2
о себе самом	3	5
в той или	3	2
слово о себе	3	4
друг с другом	4	2
во внутреннем диалоге	2	2
сам знаю что	3	2
по отношению к	5	5
я ведь и	4	3
к тому же	3	2
но в то	3	3
мы уже говорили	3	3
в большинстве случаев	8	2
в самом деле	4	3
в романах достоевского	2	3
с самим собой	3	6
в пределах одного	9	2
в то же	5	12
с точки зрения	8	4
тем не менее	2	2
как раз и	2	2
к себе самому	3	14
с другой стороны	3	3
ведь и сам	3	2
и т п	9	6
и т д	4	2
в отношении к	2	7
с самим собою	5	7
не может быть	4	6
и не может	4	2
уже говорили что	2	2
как и все	4	2
в этом смысле	2	4
в творчестве достоевского	2	3
то же время	5	12
в произведениях достоевского	3	2
