2gram	Ircho_Komedia_partition_part3_wordlist_2gram	Ircho_Komedia_partition_part1_wordlist_2gram
между тем	5	2
он был	2	4
и ее	3	2
ни было	2	2
при всем	2	2
на которые	2	3
из комедии	6	2
наряду с	2	2
в нем	4	3
так же	3	4
его в	3	8
к нему	2	5
так и	5	4
несмотря на	4	4
речь идет	3	5
прежде всего	5	5
комедии и	3	3
со стороны	2	11
и в	22	22
в силу	2	2
которую он	2	2
вместе с	2	9
х годов	3	2
тот же	3	2
к тому	6	6
в качестве	4	2
iv в	5	5
и т	9	4
в комедии	22	10
ни одной	2	2
аттической комедии	9	6
в свою	2	7
отношение к	3	5
н э	3	2
другой стороны	5	2
все это	5	5
при этом	5	7
у него	3	4
в результате	4	2
афинах в	2	2
и с	3	4
однако в	3	4
уже в	5	2
перед лицом	3	2
этой комедии	5	4
даже не	2	3
едва ли	7	7
точки зрения	4	4
в отношении	6	4
не менее	3	5
же самое	2	3
до начала	2	2
все что	2	3
что он	6	8
именно потому	2	2
столь же	2	3
ни малейшего	2	3
тем не	2	3
что они	4	2
судя по	2	3
то же	6	7
в целом	3	3
к этому	4	6
и хотя	2	2
а также	4	2
сих пор	2	9
что в	6	5
к ней	2	8
в этом	3	8
все остальные	3	2
бы то	2	2
одного из	6	3
не мог	3	2
того же	2	6
с одной	3	3
нового времени	5	2
в их	4	2
и о	3	2
еще не	2	6
в то	10	6
т е	13	16
так как	4	11
в комедиях	9	2
как раз	3	6
по имени	3	3
было бы	2	3
на основании	3	2
в самом	2	9
в афинах	21	6
отличие от	2	2
таким образом	8	12
а в	6	7
только один	2	2
до сих	2	9
на то	3	3
как мы	4	2
вовсе не	2	4
и дают	2	2
ему и	2	2
в других	2	3
сл в	2	2
как это	3	5
конце концов	4	2
здесь и	2	2
т п	5	4
по своему	3	3
не в	6	4
г и	3	2
отношению к	3	3
и еще	3	3
за пределы	2	2
и не	8	21
может быть	9	6
а сам	2	2
ни в	6	10
на него	4	4
мы знаем	2	2
и все	3	2
мы можем	4	3
в одном	8	2
и во	2	2
из его	4	2
о том	8	8
как видно	2	2
в этой	7	3
даже если	2	2
е в	2	2
с участием	3	2
в себе	2	4
что касается	2	2
вывод что	2	2
опять же	2	2
этом отношении	3	2
и без	2	2
как из	3	2
но и	11	4
в другом	4	2
из всех	2	2
до нас	5	4
то время	5	2
из них	10	5
и сам	3	5
то ни	2	3
в доме	2	10
как в	5	2
что и	4	8
и особенно	4	2
идет о	3	3
то что	2	4
как и	9	3
потому что	5	10
еврипида и	3	2
в течение	3	3
в которой	6	3
один из	5	3
в области	2	2
в и	2	2
ясно что	4	6
и здесь	2	4
и его	8	6
до конца	2	4
не может	2	3
он не	3	5
в г	11	2
в его	5	8
в образе	3	2
что к	2	4
не только	10	5
хоть и	2	2
том что	12	13
ли не	4	2
раз в	2	2
одной из	3	3
на себя	2	4
во время	5	6
около г	2	3
в них	3	3
в своих	2	2
в уже	2	2
тем что	4	5
хотя и	3	5
мы не	3	2
из которых	2	2
и даже	5	3
же время	4	5
и на	3	2
во всяком	2	3
г в	4	2
который в	2	3
дошедших до	3	2
по отношению	3	5
в котором	4	2
только что	2	7
в конце	6	7
примерно в	4	3
ничего не	3	3
в начале	3	3
тому же	6	6
всяком случае	2	3
одной стороны	3	3
в том	11	12
но в	4	5
на его	5	2
с другой	5	4
аналогии с	2	2
в сущности	2	2
время как	4	2
все же	3	4
в частности	3	3
