3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram
романа в целом	2	3
той или иной	6	3
по природе своей	2	2
о том что	3	6
как-то раз случилось	2	2
мы имеем дело	4	3
в отличие от	6	2
факторов художественного впечатления	5	6
тех или иных	2	2
по отношению к	5	4
в том что	9	6
того или иного	3	3
в таком случае	3	2
к тому же	4	4
подобно тому как	3	3
в этом отношении	2	3
в то же	8	2
в том или	2	2
с точки зрения	4	2
в данном случае	2	5
с другой стороны	2	2
мне как-то раз	2	2
с одной стороны	3	4
в конечном счете	4	2
то же время	6	2
организации литературного произведения	3	2
том или ином	3	2
состоит в том	3	4
