3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram
в эгоцентрической речи	4	2
мы говорили выше	2	2
в свою очередь	2	3
для того чтобы	18	15
в сущности говоря	2	2
пороге школьного возраста	4	2
по своей структуре	2	2
коэффициент эгоцентрической речи	3	4
заключается в том	4	6
то время как	2	4
на всем протяжении	4	2
об эгоцентрической речи	2	3
учение о мышлении	2	2
в какой мере	2	2
о мышлении и	9	7
из того что	2	5
такой же мере	3	3
в известном смысле	2	2
том что в	2	2
не может быть	4	5
развития научных понятий	2	2
могли бы сказать	2	2
и то же	3	2
при переходе от	3	2
эгоцентрическую речь ребенка	2	2
в собственном смысле	3	5
о том что	4	6
мысль и слово	3	2
благодаря тому что	2	2
друг с другом	2	4
смысловой стороны речи	7	2
и тем самым	4	3
между мыслью и	5	4
по своей природе	4	2
в то время	2	5
вместе с тем	4	5
мышлении и речи	9	7
бы сказать что	2	2
друг от друга	2	3
речь для себя	13	2
привести нас к	2	3
одно и то	3	2
эгоцентрической речи ребенка	5	6
эгоцентрической речи в	8	7
в развитии мышления	2	6
по сравнению с	7	5
детского мышления и	2	8
смысле этого слова	3	3
в такой же	3	3
же как и	2	4
что в ходе	3	2
именно в этом	2	2
по отношению к	5	7
мышление и речь	2	2
речь и мышление	2	2
в том что	13	15
приводит к тому	2	2
в этом отношении	3	4
что эгоцентрическая речь	8	10
в самом деле	4	2
с точки зрения	21	18
с самого начала	7	8
и той же	2	2
в данном случае	5	2
можно сказать что	3	4
звуковой стороны речи	4	3
так же как	7	5
эгоцентрическая речь ребенка	5	7
на то что	4	3
к выводу что	2	4
одной и той	2	2
на пороге школьного	4	2
ни в какой	2	2
мышлением и речью	2	2
внутренней речи и	4	4
мыслью и словом	5	4
мы могли бы	4	5
прежде всего в	2	2
к тому что	6	3
и речи но	2	2
мышления и речи	6	31
том что он	2	2
то же самое	5	3
так же точно	3	9
собственном смысле этого	3	3
мысли к слову	11	6
между мышлением и	2	2
с одной стороны	5	8
учения о мышлении	3	3
по мере развития	4	3
до сих пор	3	4
и речи в	2	3
