2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram
между тем	2	5
в зависимости	2	3
никогда не	2	5
как будто	2	3
наконец в	2	2
в нем	10	20
есть в	3	3
его в	2	4
так и	6	10
в своей	3	11
несмотря на	2	6
это не	6	10
для достоевского	3	6
с точки	2	15
прежде всего	15	7
говорить о	2	2
в форме	6	6
но это	3	5
в одной	2	4
и в	53	23
но не	5	8
одна из	7	2
зависимости от	2	3
вместе с	2	2
то есть	48	24
тот же	2	2
перед нами	5	4
углом зрения	4	2
именно в	2	6
все это	8	7
при этом	3	3
и одновременно	4	3
в сознании	2	2
и потому	5	3
и другие	9	2
достоевского мы	4	4
и с	6	4
уже в	2	5
да и	2	2
самого начала	4	3
точки зрения	4	21
что он	4	10
так сказать	5	3
в большинстве	4	2
из подполья	5	11
то же	6	10
к этому	4	2
как бы	14	28
и их	2	2
во все	5	3
между ними	2	2
сих пор	5	2
что в	2	8
произведениях достоевского	3	5
творчестве достоевского	5	5
мировой литературы	3	2
в этом	8	25
произведения достоевского	3	2
мы остановимся	2	3
авторской позиции	2	3
в жизни	8	6
у бальзака	3	2
и уже	2	3
кроме того	3	3
той же	5	6
он в	2	2
в их	2	3
в духе	8	3
в мире	5	7
еще не	5	5
в то	5	10
и для	4	3
они не	3	3
так как	7	7
и у	7	4
с другими	3	7
романы достоевского	2	3
было бы	5	6
с их	2	5
в самом	2	8
таким образом	6	11
менее всего	2	4
а в	2	7
до достоевского	3	2
и тон	2	2
в литературе	5	3
у достоевского	17	24
человеческой жизни	3	2
его творчества	6	7
до сих	5	2
вовсе не	3	8
и т.п	31	3
в творчестве	8	5
как мы	5	5
произведений достоевского	2	7
все эти	9	8
например в	5	3
жизни и	9	6
нет ни	2	2
достоевского в	3	19
во всех	12	5
не в	2	6
его произведений	3	2
себе самому	6	3
мы видим	2	3
и не	15	34
человека в	3	5
для других	2	2
может быть	12	21
вот что	2	2
себя самого	3	4
в себя	6	3
и наконец	2	5
подходе к	2	2
о себе	2	9
большинстве случаев	4	2
и все	10	3
к себе	6	2
все то	3	4
о том	2	2
и во	4	2
его творчестве	2	2
более того	6	3
по существу	5	4
и к	5	4
с самого	3	2
я не	4	3
в себе	5	5
мира и	2	7
мы должны	4	2
линии развития	3	2
ивана карамазова	4	5
только в	4	8
себя и	2	2
но и	7	11
для понимания	2	3
в истории	3	2
сказать что	10	5
из них	4	2
как он	2	2
творчество достоевского	2	3
в этих	5	2
что и	3	5
как в	7	6
творчества достоевского	10	7
слово в	2	2
то что	9	18
как и	11	8
потому что	5	12
его творчество	2	4
достоевского и	6	12
в которой	2	4
в каждом	4	8
один из	6	2
в области	3	3
сочетается с	3	3
и это	3	5
он сам	4	3
и его	10	13
он не	3	4
не может	2	11
в его	8	24
сущности только	2	2
одним из	3	8
в той	2	6
с ним	2	6
с его	2	6
не только	4	13
том что	5	9
достоевский был	4	4
можно сказать	8	2
к человеку	2	2
и тем	2	2
в них	2	3
в своих	2	2
тем что	2	3
а не	11	20
их в	2	2
мы не	4	2
и даже	2	3
и других	9	5
как у	5	2
же время	5	7
и на	18	10
что именно	2	2
героев достоевского	2	3
в условиях	4	2
это очень	4	3
не было	4	3
самим собою	4	2
идеи в	2	7
по отношению	2	11
в конце	3	5
хотя бы	2	2
ничего не	6	6
но они	4	4
в основе	5	5
в один	2	2
он умел	2	4
в том	14	11
но в	5	4
здесь мы	2	2
во всей	4	2
конечно и	4	4
в смысле	2	2
на его	3	2
с другой	2	2
достоевского с	3	7
но он	2	2
в сущности	10	5
и по	3	2
все равно	4	2
мы уже	5	2
человек и	2	2
