2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
или не	2	2
большей частью	2	2
между тем	4	7
к чему	2	6
далеко не	2	3
такой же	2	2
из этих	6	3
что образ	2	2
так точно	3	2
никогда не	8	4
что это	6	10
так же	12	2
как будто	5	4
в нем	2	4
видели что	2	2
есть в	7	2
его в	2	3
из этого	2	8
действия и	2	2
что она	6	16
несмотря на	5	5
речь идет	3	4
с точки	2	9
в своей	3	5
как на	3	3
одно из	2	2
в ее	5	7
но это	3	3
оно есть	2	2
со стороны	4	2
в одной	3	2
очень часто	4	2
и в	31	38
одна из	4	4
в силу	3	2
не можем	3	4
вместе с	8	5
для всех	4	2
в противоречие	2	2
то есть	26	15
если бы	6	14
к тому	4	6
в качестве	2	2
она не	5	6
тот же	2	3
и т	26	14
утверждать что	5	2
на деле	3	4
остановиться на	2	2
для нас	5	8
в такой	2	3
что оно	3	2
другой стороны	5	5
все это	8	3
при этом	19	4
у него	4	4
противоречие с	3	2
по самому	5	2
как к	2	2
совсем не	3	3
каждого из	3	3
и другие	4	2
с этим	3	8
и как	2	8
того что	10	4
чувства и	2	2
точки зрения	15	16
с здесь	3	2
же самое	2	10
только то	2	2
что он	7	11
показывает что	5	2
столь же	4	2
с и	5	6
говорит что	5	8
что с	2	4
главным образом	2	3
все же	5	8
так что	5	8
в своем	3	5
что эта	3	4
с теми	2	3
с тем	3	8
что они	2	4
в таком	3	3
то же	5	10
в целом	5	4
совершенно другой	2	3
к этому	4	3
как бы	5	14
представляет собой	2	2
сих пор	3	5
что в	23	20
уже не	2	2
в которых	3	6
в этом	12	13
что всякое	5	2
видим что	2	8
того же	2	3
должна быть	3	5
по мнению	2	2
с одной	5	6
в полном	2	2
совпадает с	4	2
это есть	5	2
совершенно ясно	19	13
но как	2	2
никак не	4	7
и дальше	2	2
когда она	2	3
стоит только	2	3
той же	3	2
же самая	2	2
и о	4	3
но мы	3	2
в то	5	3
и для	5	4
так как	18	6
как раз	2	8
и другими	3	2
иначе как	2	2
было бы	6	12
же точно	3	2
в самом	11	25
смысле этого	2	2
в нас	2	4
таким образом	20	12
и той	3	2
а в	6	7
совершенно явно	2	2
и вместе	2	2
до сих	3	6
на то	10	16
очевидно что	6	2
вовсе не	6	8
как мы	2	7
то и	2	3
например в	3	2
к ним	2	3
не могут	3	2
могло бы	4	2
как это	4	6
обратиться к	2	4
т п	16	5
если мы	12	6
не в	11	12
это только	2	3
у нас	4	2
но только	3	8
что эти	3	4
мысль что	3	4
мы видим	5	12
мы найдем	2	2
и не	16	10
может быть	22	19
поэзии и	2	2
всякий раз	8	3
ни в	9	3
что только	2	2
показать что	8	7
какой мере	3	2
и все	5	10
ли это	2	2
в одном	2	8
все то	3	7
мы можем	4	7
состоит в	3	3
на самом	2	2
напротив того	2	6
легко показать	2	6
при помощи	20	4
по существу	4	2
о том	7	6
и во	2	2
в этой	3	13
совершенно не	5	5
и к	3	3
в себе	4	4
на примере	3	2
что у	3	7
она в	2	3
что здесь	2	2
только в	14	4
но и	2	5
и когда	3	5
бы в	2	3
из всех	2	3
имеет место	2	2
того чтобы	7	9
что же	2	2
то время	5	2
из них	2	6
когда мы	3	2
не то	2	4
в этих	4	2
что и	13	4
казалось бы	2	5
для того	6	8
как в	9	4
идет о	2	4
то что	32	35
как и	16	8
увидим что	2	9
мы видели	2	6
мы увидим	4	12
потому что	10	14
т д	8	4
что все	3	3
в которой	4	5
один из	4	6
и это	3	8
очень легко	2	4
и здесь	2	6
был бы	5	3
говорит о	2	2
с этой	4	2
ясно что	19	6
к которым	3	5
и его	7	6
и только	3	3
когда он	2	4
это имеет	2	2
до конца	6	2
самом деле	9	21
он не	3	6
не может	17	7
в его	6	5
но что	2	2
и то	2	8
том и	2	2
и если	4	6
не знаем	2	2
с ним	2	2
заключается в	7	7
не только	13	12
том что	16	14
со всеми	4	2
она должна	2	3
та же	3	3
что по	3	3
и тем	2	3
отнюдь не	6	2
в них	2	3
в своих	4	4
мы все	2	4
в виду	4	4
их в	2	2
а не	13	7
мы не	12	5
одной и	4	2
указывает на	4	6
из которых	3	4
этого слова	4	2
и даже	6	4
на это	2	3
целый ряд	6	2
есть только	2	2
такой степени	2	3
во всяком	8	2
и очень	2	2
тому что	4	6
и следовательно	2	2
заключается не	2	2
только что	2	2
в котором	4	6
и совершенно	5	4
в конце	3	2
ничего не	2	2
сущности говоря	3	7
все время	4	30
в основе	2	3
помощи которого	2	2
к этой	2	2
всяком случае	6	2
эстетической реакции	5	2
одной стороны	6	5
там где	4	6
в том	30	25
иначе говоря	5	5
что даже	2	2
совершенно прав	2	2
но в	3	3
и что	8	18
с другой	5	7
в известных	2	2
и вот	3	2
в сущности	10	10
время как	5	4
и по	3	2
сказать что	7	4
в совершенно	4	2
и может	2	2
в какой	5	5
