2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram
жизни на	2	2
авторитарного сознания	4	12
всего лишь	4	3
в рамках	6	4
при всем	3	2
никогда не	4	3
в художественном	4	2
в хх	6	4
русской литературе	5	2
в нем	2	3
одно из	3	2
так и	4	7
русской поэзии	5	3
с точки	2	3
прежде всего	11	4
со стороны	4	3
произведения искусства	3	2
в данном	5	3
и в	8	19
одна из	3	5
но не	4	5
в русской	10	4
не случайно	2	4
то есть	6	5
в стихотворении	4	13
х годов	2	3
еще в	4	4
в качестве	17	5
коммуникативная стратегия	5	5
данном случае	4	3
для него	2	4
в принципе	3	5
у него	3	2
при этом	19	6
хх века	10	8
подобно тому	2	2
художественного творчества	3	2
мира в	3	2
уже в	5	2
однако в	2	6
того что	6	5
точки зрения	6	4
не менее	7	6
себя в	6	6
эстетический субъект	3	3
что он	5	3
пути иллюстрация	2	2
коммуникативное событие	4	3
тому как	2	2
столь же	4	5
тем не	2	2
рефлективного традиционализма	4	2
то же	5	12
в целом	8	2
на этом	2	2
а также	5	2
как бы	7	2
общественного сознания	3	2
во имя	2	2
и нет	2	2
в равной	2	3
е годы	2	2
представляет собой	4	2
что в	3	4
в кругозоре	2	3
уже не	7	2
в этом	12	9
другого в	3	3
в году	13	5
в жизни	6	2
не к	2	2
того же	2	4
с одной	2	7
той же	3	2
в их	3	3
в мире	2	9
перестает быть	4	3
эстетического субъекта	9	3
еще не	4	2
в то	5	9
из того	2	2
как раз	4	2
было бы	2	2
и др	3	3
тем же	3	3
обращается к	2	3
а в	3	3
на наш	5	3
нашего столетия	3	2
[] в	4	6
своего рода	11	13
не исключают	2	2
тогда как	13	9
внутренней свободы	2	2
и т.п	4	10
то и	2	3
что я	2	2
творческого поведения	4	5
он и	3	2
жизни и	3	4
русской классической	7	2
не столько	5	3
как это	8	2
в культуре	3	3
не в	8	4
мыслится как	3	3
такого рода	10	9
отношению к	2	3
и не	12	11
может быть	13	17
даже в	2	4
поэзии и	2	2
в себя	2	3
как правило	2	3
о себе	4	3
состоит в	11	9
о том	2	2
ты в	2	2
в этой	4	3
в россии	2	2
я и	7	4
я не	7	5
в себе	7	6
наш взгляд	5	3
этом отношении	2	3
что не	2	2
но и	17	10
в другом	2	3
не является	2	2
между я	3	3
для этого	4	2
культура авторитарного	2	2
своего другого	3	3
своих стихах	2	2
из них	4	2
как он	2	2
художественной культуры	10	3
коммуникативного события	7	2
и сам	6	2
в искусстве	2	4
то что	10	7
как и	6	10
потому что	3	2
причастность к	2	4
и.п смирнов	2	4
один из	3	4
это как	2	2
в области	3	4
уединенного сознания	50	5
с этой	5	2
и его	4	3
и только	2	2
по характеристике	3	2
конвергентного сознания	3	3
лирический герой	4	10
я в	5	7
не может	5	9
по преимуществу	4	2
в его	7	4
классической художественности	5	2
одним из	5	3
говоря уже	2	2
и то	2	3
не только	24	8
том что	14	7
сознания в	12	3
ли не	3	4
тем самым	5	3
сознания дискурс	2	2
отнюдь не	2	4
на себя	2	2
не говоря	2	2
литературного процесса	6	3
эстетической деятельности	4	3
в своих	4	2
могут быть	2	2
ту же	2	2
в виду	3	2
тем что	2	4
а не	16	20
творческой рефлексии	5	2
и даже	3	8
парадигма художественности	4	2
вплоть до	2	3
в е	2	2
в конечном	5	5
же время	5	9
в сфере	3	4
же в	5	2
художественного письма	9	2
не было	3	2
ко всему	2	2
по отношению	3	4
в конце	4	2
для себя	5	2
хотя бы	2	2
обращаясь к	2	3
с читателем	2	2
при всей	3	2
в основе	3	2
одной стороны	2	6
хх веке	5	4
в том	16	10
но в	3	2
самоактуализация как	4	2
а потому	2	2
с другой	3	8
конечном счете	4	5
в сущности	2	3
друг друга	4	2
все же	4	2
парадигмы художественности	7	3
в частности	15	4
