2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram
связи с	3	4
эти три	2	2
никогда не	2	4
так же	16	14
привести нас	3	2
друг другу	3	3
оно есть	2	5
в данном	2	5
к слову	6	14
к тому	4	7
перед нами	5	2
одно и	2	3
и словом	4	5
к мысли	2	4
по сравнению	6	9
у ребенка	6	9
с этим	6	2
к действительности	5	2
самого начала	8	7
едва ли	2	4
точки зрения	26	28
того как	2	2
на элементы	6	2
же самое	3	5
в психологии	10	2
значения и	2	3
психологии в	2	3
отношения к	3	2
говорит что	4	2
экспериментальное исследование	3	2
как прямое	2	2
и наиболее	2	2
что они	3	10
в целом	20	5
как бы	11	6
что в	14	12
и речь	4	3
пиаже в	6	3
природе и	2	2
одного из	3	2
той же	2	8
нас к	8	6
учения о	6	4
с другими	2	3
было бы	4	6
смысле этого	3	3
и речью	2	2
таким образом	26	23
а в	2	2
о мышлении	7	11
речь ребенка	12	8
что если	2	2
речь в	2	4
эта речь	2	8
отношению к	7	5
точку зрения	2	2
что эти	2	3
между мыслью	4	5
на пороге	2	4
с помощью	13	13
с собой	2	3
в себе	6	9
только в	6	8
своей структуре	2	3
не имеет	2	2
сравнению с	5	8
школьного возраста	3	8
что этот	2	5
и его	6	12
мы пытались	5	8
собственном смысле	5	3
речевого мышления	10	7
речь для	3	14
не может	12	11
он не	5	3
могли бы	6	5
значения слова	3	9
по себе	5	3
со всеми	2	2
а затем	5	2
и тем	6	6
мысли в	5	9
нашего исследования	8	5
тем что	6	9
связи между	3	5
и следовательно	3	5
в котором	4	4
мысли и	6	11
в том	24	18
но в	5	4
звуковой стороны	5	4
речь т.е	2	3
все же	3	6
пороге школьного	2	4
приводит к	4	4
между двумя	2	3
и ее	7	2
о природе	4	7
по мере	4	7
что это	3	6
наконец в	2	2
и при	2	2
из этого	5	2
так и	5	3
об этом	3	3
с точки	18	21
в ее	2	6
в одной	3	3
и в	23	26
мы вправе	2	3
вместе с	9	12
оба эти	3	5
в качестве	9	5
она не	3	5
в такой	3	4
все это	6	3
представить себе	5	3
о развитии	4	4
нашей работы	8	3
словом и	2	10
и с	9	5
уже в	3	2
движение от	2	6
что мы	5	9
между мышлением	2	3
что он	7	8
столь же	6	2
показывает что	3	2
нуждается в	2	3
с тем	7	5
речи именно	2	3
эгоцентрическую речь	5	4
детской речи	9	4
мы говорили	3	2
в этом	17	29
своей природе	2	4
и во-вторых	2	3
должно быть	2	2
речевому мышлению	2	2
стороны речи	8	18
о чем	2	4
к пониманию	2	3
в лет	4	2
ребенка является	2	3
мы и	3	2
к другу	2	2
в их	3	2
в то	7	3
пиаже и	7	2
как раз	4	3
