3gram	Losev_VladivirSolovjev_partition_part1_wordlist_3gram	Losev_VladivirSolovjev_partition_part2_wordlist_3gram
вл соловьев был	4	7
вл соловьева с	6	5
вл соловьева не	3	6
соловьев вл письма	16	14
то что он	3	5
у вл соловьева	11	13
в эти годы	4	3
и то что	5	4
указ соч с	15	3
что же касается	5	4
по вл соловьеву	3	2
м с соловьева	2	2
вопросы философии и	2	2
что вл соловьев	8	9
можно судить по	4	2
с п хитрово	11	32
м м стасюлевичу	2	2
н н страхова	4	3
вл соловьев никогда	3	2
т i с	3	2
для вл соловьева	10	7
м с ]	5	2
в конце концов	3	3
к с п	2	4
а ф аксаковой	3	2
на этот раз	3	4
о том что	3	7
в письме к	4	8
там же с	10	10
вл соловьева но	4	3
в то время	6	2
не только в	2	2
того же года	4	4
л м лопатин	3	8
в то же	3	4
тем не менее	6	2
i с ]	3	2
вл соловьев не	5	2
в этом письме	2	2
же с ]	9	7
соловьева в эти	2	5
на первый план	2	2
с м соловьев	5	9
более или менее	3	3
вл соловьев в	9	8
в том чтобы	2	2
вл письма с	7	3
во всяком случае	6	2
в л указ	3	2
величко в л	3	2
с ] в	3	4
как это мы	4	2
в те времена	3	5
л указ соч	3	2
в том что	9	7
соловьев никогда не	3	2
письма с ]	5	2
жизни вл соловьева	3	4
вл соловьева и	6	6
вл соловьева можно	2	2
письма т ii	2	3
самого вл соловьева	3	3
вл соловьев и	4	3
к этому времени	2	2
дело в том	3	4
вл соловьевым и	2	3
соловьев с м	12	2
вл письма т	9	10
вл соловьева к	14	3
iii с ]	4	10
то же время	3	4
о вл соловьеве	5	7
вл соловьева как	4	2
письма т iii	5	5
т iii с	5	10
в октябре года	2	2
с ] и	2	2
на то что	2	4
т ii с	2	3
с м указ	13	4
сам вл соловьев	3	7
вл соловьев писал	3	5
н н страхов	3	3
к вл соловьеву	5	4
в течение всей	2	4
вл соловьева в	20	15
с м соловьева	2	13
том что он	2	2
года вл соловьев	16	4
м указ соч	13	4
философии и психологии	2	4
соч с ]	11	2
вл соловьева то	4	3
вл соловьев так	2	2
с н трубецкого	4	2
в л величко	4	4
с вл соловьевым	2	4
