3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram
одно и то	6	2
на то что	4	3
в свою очередь	2	3
во всяком случае	3	3
по сравнению с	3	5
для того чтобы	5	15
в собственном смысле	7	5
о том что	3	6
детского мышления и	4	8
интересующей нас проблемы	2	2
к выводу что	2	4
одной и той	4	2
смысле этого слова	7	3
с таким образом	3	3
же как и	4	4
могли бы сказать	2	2
заключается в том	14	6
друг с другом	7	4
и тем самым	4	3
на всем протяжении	2	2
и в отношении	2	3
в детском возрасте	2	9
речь идет о	3	2
что ребенок не	2	2
мы могли бы	9	5
мы видим таким	4	3
в том что	31	15
вместе с тем	3	5
связей и отношений	2	2
в этом отношении	7	4
все более и	2	2
в самом деле	6	2
но вместе с	2	4
в первую очередь	4	3
в равной мере	3	2
между этими двумя	2	2
с точки зрения	11	18
и той же	4	2
как уже сказано	4	6
то же самое	7	3
развитии детского мышления	8	2
бы сказать что	3	2
в целом и	2	5
в данном случае	2	2
собственном смысле этого	4	3
с другой стороны	8	9
в высшей степени	2	4
можно было бы	5	3
а с другой	2	2
на первый план	4	2
таким образом что	4	3
с одной стороны	9	8
в школьном возрасте	5	3
более и более	2	2
в развитии детского	9	2
видим таким образом	4	3
так же как	5	5
развития научных понятий	8	2
в том чтобы	2	3
развития детского мышления	10	2
и то же	6	2
