2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram
связи с	4	3
эти три	2	2
никогда не	4	2
так же	14	16
привести нас	2	3
друг другу	3	3
оно есть	5	2
в данном	5	2
к слову	14	6
к тому	7	4
перед нами	2	5
одно и	3	2
и словом	5	4
к мысли	4	2
по сравнению	9	6
у ребенка	9	6
с этим	2	6
к действительности	2	5
самого начала	7	8
едва ли	4	2
точки зрения	28	26
того как	2	2
на элементы	2	6
же самое	5	3
в психологии	2	10
значения и	3	2
психологии в	3	2
отношения к	2	3
говорит что	2	4
экспериментальное исследование	2	3
как прямое	2	2
и наиболее	2	2
что они	10	3
в целом	5	20
как бы	6	11
что в	12	14
и речь	3	4
пиаже в	3	6
природе и	2	2
одного из	2	3
той же	8	2
нас к	6	8
учения о	4	6
с другими	3	2
было бы	6	4
смысле этого	3	3
и речью	2	2
таким образом	23	26
а в	2	2
о мышлении	11	7
речь ребенка	8	12
что если	2	2
речь в	4	2
эта речь	8	2
отношению к	5	7
точку зрения	2	2
что эти	3	2
между мыслью	5	4
на пороге	4	2
с помощью	13	13
с собой	3	2
в себе	9	6
только в	8	6
своей структуре	3	2
не имеет	2	2
сравнению с	8	5
школьного возраста	8	3
что этот	5	2
и его	12	6
мы пытались	8	5
собственном смысле	3	5
речевого мышления	7	10
речь для	14	3
не может	11	12
он не	3	5
могли бы	5	6
значения слова	9	3
по себе	3	5
со всеми	2	2
а затем	2	5
и тем	6	6
мысли в	9	5
нашего исследования	5	8
тем что	9	6
связи между	5	3
и следовательно	5	3
в котором	4	4
мысли и	11	6
в том	18	24
но в	4	5
звуковой стороны	4	5
речь т.е	3	2
все же	6	3
пороге школьного	4	2
приводит к	4	4
между двумя	3	2
и ее	2	7
о природе	7	4
по мере	7	4
что это	6	3
наконец в	2	2
и при	2	2
из этого	2	5
так и	3	5
об этом	3	3
с точки	21	18
в ее	6	2
в одной	3	3
и в	26	23
мы вправе	3	2
вместе с	12	9
оба эти	5	3
в качестве	5	9
она не	5	3
в такой	4	3
все это	3	6
представить себе	3	5
о развитии	4	4
нашей работы	3	8
словом и	10	2
и с	5	9
уже в	2	3
движение от	6	2
что мы	9	5
между мышлением	3	2
что он	8	7
столь же	2	6
показывает что	2	3
нуждается в	3	2
с тем	5	7
речи именно	3	2
эгоцентрическую речь	4	5
детской речи	4	9
мы говорили	2	3
в этом	29	17
своей природе	4	2
и во-вторых	3	2
должно быть	2	2
речевому мышлению	2	2
стороны речи	18	8
о чем	4	2
к пониманию	3	2
в лет	2	4
ребенка является	3	2
мы и	2	3
к другу	2	2
в их	2	3
в то	3	7
пиаже и	2	7
как раз	3	4
речевое мышление	2	3
в самом	9	7
на основании	2	5
в ходе	12	8
речь не	5	3
мышления и	9	40
к выводу	3	4
речи если	3	5
и до	2	2
ее в	8	2
что для	2	5
до сих	3	4
ключом к	2	2
то и	4	3
мысль и	3	3
это положение	3	4
письменной речи	3	2
во всех	6	3
связь между	6	6
значение в	2	3
и не	18	9
известном смысле	2	2
функции и	4	6
смысловой стороны	9	3
показать что	4	2
и наконец	4	2
мы можем	3	6
с самого	7	8
из основных	2	3
бы в	5	5
но и	11	14
учение о	3	3
того чтобы	19	17
этих двух	2	3
ребенка и	8	5
представление о	7	2
для того	18	15
друг от	2	3
потому что	16	6
в собственном	3	5
формы речи	3	2
в которой	11	3
в пользу	4	4
которых мы	2	2
слова и	10	5
что ребенок	5	4
в слове	11	2
в его	4	14
бы сказать	2	2
мысль не	4	2
и речи	19	38
можно сказать	5	5
тем самым	8	5
ребенка с	4	2
в своих	2	5
же как	8	6
мы не	7	7
одной и	2	2
этого слова	3	4
из которых	2	3
должны были	2	3
к изучению	3	2
детского развития	6	3
по отношению	6	7
от друга	2	3
но этот	2	2
в детском	3	9
исследования и	3	6
речи является	3	4
мысль от	2	2
речью и	2	2
на всем	5	2
в какой	6	5
такой же	3	3
всего в	2	2
мышлением и	2	3
можно было	2	3
что она	8	4
в своей	3	4
несмотря на	2	2
в свете	4	4
прежде всего	7	10
в современной	2	2
его значение	2	2
но не	3	4
переходе от	3	2
если бы	5	5
внутреннюю речь	12	3
данном случае	5	2
для него	3	2
именно в	6	6
в одинаковой	3	2
что оно	4	3
и мышление	2	4
говорили выше	2	2
что с	5	2
развития в	3	2
во всем	3	3
представляет собой	19	11
между ними	3	2
лишь в	2	6
с одной	5	8
детской мысли	2	13
что между	2	2
из того	3	5
развития научных	2	3
детского мышления	4	34
речи так	3	2
в речи	5	2
и той	2	2
как известно	2	3
всем протяжении	4	2
из важнейших	3	2
вопрос о	6	7
если мы	5	2
друг с	2	4
тогда когда	5	3
его мысли	2	2
мышление и	2	3
мы видим	3	4
даже в	2	2
между собой	6	5
внутренней речи	67	9
в первом	3	2
мы попытались	2	2
приводит нас	3	2
я не	3	3
мы должны	6	5
что эгоцентрическая	8	13
коэффициент эгоцентрической	3	6
не является	3	9
из всех	5	2
для этого	3	5
речи и	30	28
в этих	2	2
идет о	2	2
то что	24	17
мы видели	3	2
что все	2	4
ответ на	2	3
в области	4	3
с другом	2	4
с этой	5	6
свойств присущих	2	4
в эгоцентрической	4	3
как говорит	5	2
заключается в	6	8
не только	24	16
том что	17	21
она должна	2	4
тенденцию к	3	2
могут быть	2	3
мы могли	6	7
а не	6	3
мы находим	3	3
речи но	11	3
который мы	2	2
во всяком	2	3
мыслью и	6	7
что его	2	2
для себя	24	4
теории пиаже	2	8
мышления мы	3	2
ничего не	2	3
внутренняя речь	15	4
речи как	6	8
во всей	2	4
эгоцентрической речью	2	8
словесного значения	3	4
и от	4	3
в нашем	4	2
в сущности	9	6
сказать что	8	11
к его	2	2
психологии речи	2	3
из этих	3	3
слова как	5	2
как на	6	4
детского эгоцентризма	2	15
одно из	5	2
речи в	27	14
которое мы	2	3
нами в	4	2
в процессе	5	8
в силу	5	6
научных понятий	2	2
в свою	2	4
благодаря тому	2	2
и потому	3	2
связана с	3	2
и слово	3	2
ребенка как	2	4
того что	14	15
в отношении	2	10
в чем	3	4
что эта	6	2
мышления как	3	5
то же	8	8
к этому	2	4
мысли к	11	8
сих пор	3	4
от мысли	5	4
в которых	2	3
эгоцентрическая речь	28	19
том же	2	2
выводу что	2	4
мере развития	4	3
мышлении и	9	7
так как	14	7
же мере	5	3
же точно	3	9
с ней	2	2
речи ребенка	10	9
относящихся к	4	2
речи от	5	3
в известном	2	2
речью в	3	2
психологической природы	5	4
при переходе	3	2
на то	4	5
вовсе не	2	3
как мы	14	5
на вопрос	5	2
все эти	6	4
показывают что	2	3
как это	5	2
в наших	4	3
не в	4	4
ребенка к	2	3
которые мы	4	2
об эгоцентрической	2	3
может быть	7	14
ни в	2	4
какой мере	2	2
отношений между	3	4
о том	4	6
в этой	3	7
почти всегда	2	2
иначе чем	2	2
и к	7	4
ко всем	2	3
что у	4	2
этом отношении	3	4
свою очередь	2	3
этого мы	3	2
от речи	8	2
то время	2	5
на ее	2	2
вопроса о	2	2
как в	4	4
как и	15	14
в развитии	10	12
как такового	2	2
один из	2	2
понятий и	2	4
самом деле	6	3
мысль ребенка	2	7
речь как	3	3
развитии мышления	2	8
и то	7	3
ребенка есть	2	2
основной и	2	2
речь и	5	2
и других	2	3
целый ряд	4	4
тому что	9	5
эгоцентрической речи	91	38
значение слова	13	5
по своей	10	5
есть не	3	2
только что	5	4
есть речь	2	2
в конце	4	2
в основной	2	2
сущности говоря	2	2
в основе	3	8
речи с	7	2
целому и	3	2
одной стороны	5	9
мышления это	2	2
и что	6	5
в смысле	6	2
с другой	4	10
время как	2	4
речи мы	4	4
