2gram	Bakhtin_slovoVRomane_partition_part2_wordlist_2gram	Bakhtin_slovoVRomane_partition_part1_wordlist_2gram
слов о	2	2
связи с	2	3
никогда не	3	7
к нему	5	3
со всею	2	3
в контексте	2	3
в данном	3	2
на мир	4	2
словом в	4	4
перед нами	4	3
для нас	2	5
между словом	2	3
в результате	3	2
с этим	3	2
поэтому и	3	4
различных форм	3	2
с различными	3	3
точки зрения	16	8
единый и	2	3
и роман	2	2
как бы	12	7
известной степени	4	2
единого и	4	2
уже не	2	5
и проч	2	2
языку и	5	4
и там	3	3
его и	3	2
нем в	3	3
все они	7	2
романа в	3	5
кроме того	4	2
той же	2	3
к чужому	6	3
эти слова	2	2
другого языка	3	3
в него	3	7
с другими	5	4
с языком	2	2
таким образом	9	8
а в	6	4
романной прозы	8	6
свой язык	3	2
в прямой	2	2
точку зрения	3	3
всех этих	4	4
конечно не	3	5
и предметом	2	2
в себе	3	2
которые в	3	2
не с	2	3
только в	6	5
отношении к	6	4
оно может	2	2
смысла и	3	3
или иной	9	5
говорящего и	2	2
более или	3	2
художественной прозы	3	2
и его	14	33
до конца	12	17
не может	14	20
он не	3	2
язык и	10	7
в них	6	6
хотя и	2	2
язык не	2	4
же время	12	4
и экспрессивных	3	2
поэтические жанры	2	2
слова в	8	13
в том	3	5
но в	8	6
но он	2	2
все же	7	6
языков в	7	8
единство и	3	3
роман и	5	2
эпохи и	2	2
наконец в	2	4
разноречия и	5	2
его в	3	4
так и	11	15
двух языков	2	5
с точки	8	3
и в	41	39
она не	3	6
с которым	2	2
здесь не	2	4
все это	5	16
при этом	6	7
чужого слова	2	40
словом и	3	8
и с	4	9
внутренняя диалогичность	9	6
зрения на	7	2
языка и	12	9
же и	2	2
также и	3	2
в чисто	2	3
в этом	12	16
здесь в	4	3
в узком	10	4
языка то	2	3
в их	4	2
еще не	4	7
в то	14	4
но здесь	3	4
язык в	4	6
языка но	4	4
к своему	6	9
и др	14	4
в роман	19	3
до сих	2	2
слово как	5	7
авторским словом	2	2
внутренней диалогичности	5	2
его слова	2	7
во всех	17	12
т п	23	33
романа но	2	2
для романа	2	2
и часто	4	3
и не	16	22
за пределы	4	2
и прямо	3	2
автора и	4	2
в виде	2	2
и наконец	4	5
своему языку	4	2
в плане	6	5
большинстве случаев	6	5
в одном	2	2
так в	2	2
и другим	2	2
и непосредственно	5	2
но и	16	21
в другом	2	2
смысловых и	4	2
для того	2	2
где они	2	2
вне его	2	2
чужой речи	7	16
в различные	2	2
в особенности	8	3
слова и	13	8
языка это	2	2
художественной прозе	2	2
в слове	7	6
с ними	3	5
еще более	5	2
в его	13	7
одним из	4	2
с ним	7	7
в той	10	4
и речи	2	2
языка или	2	2
литературный язык	8	3
имеет дело	2	2
мы не	2	2
в ней	4	3
не было	3	2
чужих языков	2	2
социальных групп	2	2
или в	8	2
языка а	3	5
языка как	4	7
в пределах	14	13
далеко не	5	2
в зависимости	3	4
в нем	30	19
оно не	6	8
это не	6	5
прежде всего	8	8
одна из	2	4
но не	2	6
то есть	26	26
в поэзии	3	2
и т	28	35
для него	3	7
своему предмету	2	5
именно в	3	2
у него	3	3
своего языка	3	4
одним словом	2	2
одновременно и	2	3
в рамки	2	2
себя в	9	8
так сказать	5	6
роман в	2	3
в большинстве	10	6
своего и	2	2
на этом	2	3
романного слова	4	2
а также	2	3
на протяжении	2	2
роль в	2	2
лишь в	4	3
поэтического слова	9	4
с одной	4	5
романе в	3	3
слова все	2	3
связанные с	3	4
и для	4	5
этом случае	2	6
иной степени	9	3
со своим	5	9
быть и	4	3
европейского романа	3	7
и единственного	4	2
точка зрения	8	2
слове во	2	2
в речах	2	2
романного жанра	7	15
с чужим	8	11
например в	2	5
социальное разноречие	3	4
установка на	6	2
оно было	2	2
языковое сознание	6	9
даже в	2	2
его слово	2	15
или даже	2	3
в языковом	4	2
и единственный	3	2
в истории	3	11
в этих	2	7
нем и	3	2
на чужом	8	2
зоны героев	3	2
зрения и	2	2
в контекст	2	2
рядом с	4	3
и здесь	3	2
сливается с	2	4
романного стиля	7	3
с его	4	7
не только	16	24
том что	2	5
литературного языка	20	12
может не	8	2
могут быть	19	7
а не	15	14
той или	9	5
из существеннейших	3	2
и даже	6	7
обстоит дело	2	2
на фоне	7	4
и на	14	4
во всяком	7	3
в романах	2	3
именно как	2	2
но оно	3	2
два голоса	2	2
чужим словом	9	14
всяком случае	5	2
конечно и	2	2
и от	4	3
языка в	16	6
в сущности	13	6
романа и	5	5
сказать что	2	3
мы уже	2	2
из него	2	2
между тем	2	3
слова как	6	2
на почве	4	4
чужом языке	7	2
пародийная стилизация	3	2
риторических жанрах	2	2
в процессе	4	13
зависимости от	3	4
вне себя	3	2
в свою	3	3
входит в	4	4
отношение к	7	4
как к	2	3
и потому	4	7
и слово	2	2
вокруг него	2	2
как вещь	2	2
слов и	2	3
в отношении	6	4
в своем	3	6
а вовсе	2	2
языкового сознания	3	7
чужих слов	7	6
то же	14	4
язык как	3	3
и чисто	3	2
сих пор	2	2
свои интенции	3	3
этого жанра	2	2
социальных языков	2	7
национального языка	5	3
поэтическое слово	3	4
и чужого	2	2
в языке	5	2
узком смысле	10	4
так как	3	4
точек зрения	5	3
и форм	2	2
вовсе не	7	10
как мы	8	7
смысловые и	7	2
все эти	9	6
не могут	3	5
в романе	21	46
о нем	4	2
единого языка	7	3
не в	7	9
и иных	2	4
авторское слово	3	3
может быть	14	37
и все	4	5
о том	3	2
более того	3	2
и к	5	6
свою очередь	2	2
как в	8	13
слово в	10	11
как и	4	6
т д	5	2
и экспрессивные	3	2
мы сказали	4	2
один из	4	5
языков и	9	9
и мир	5	4
ту же	4	3
и других	3	4
его язык	3	3
бы и	3	3
в основном	3	4
с ее	4	2
его как	2	2
или менее	3	2
хотя бы	3	3
те же	2	2
в основе	5	4
одной стороны	4	5
там где	4	6
в смысле	4	4
на его	8	2
с другой	5	5
из романа	2	2
всех его	7	3
чужому слову	4	2
самого автора	2	2
