2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
не обязательно	2	2
не так	3	3
связи с	3	8
том или	3	3
не символы	2	2
так же	5	5
в данном	6	9
как о	3	5
того или	3	6
есть символ	11	11
к тому	3	3
перед нами	13	8
для нас	6	16
для ее	2	2
и единичное	2	4
нам представляется	2	2
о которых	2	3
в результате	8	2
с этим	4	2
и как	3	3
но никак	2	3
едва ли	10	5
точки зрения	14	5
том смысле	2	3
же самое	6	9
нечто целое	3	2
от нас	2	2
сравнении с	2	2
при условии	2	2
что они	2	5
что символ	4	6
как бы	4	9
что в	3	8
уже не	5	7
нашем смысле	10	2
отличается от	4	4
ни с	4	4
разлагается в	2	2
все они	3	2
кроме того	4	3
но как	3	4
никак не	4	9
тех или	4	5
и о	5	5
имеет ничего	2	3
есть ни	2	3
с другими	3	3
было бы	14	8
только на	2	5
таким образом	8	9
а в	4	5
из себя	2	3
жизни и	5	6
но только	2	6
у нас	14	10
всех этих	6	2
виде и	2	3
чистом виде	2	2
с собой	3	3
в связи	3	7
в себе	12	8
является не	2	2
и тогда	2	3
что здесь	6	5
только в	23	19
не будем	2	2
уж во	2	3
общее и	3	6
жизнь и	4	2
не имеет	4	9
само собой	3	2
не то	2	2
в аллегории	5	15
к другой	2	2
или иной	13	8
тоже является	3	5
а это	3	3
но даже	4	4
если не	3	3
и это	2	9
есть именно	2	5
и его	10	5
и только	4	6
это будет	2	4
не может	5	7
он не	2	8
не есть	12	35
и если	5	6
по себе	11	25
и тем	7	9
содержит в	8	3
в типе	2	3
тем что	3	4
хотя и	5	5
а только	6	5
ни к	2	3
виде как	3	2
в условиях	3	3
в котором	2	2
гоголя и	3	2
том виде	2	2
все такого	2	2
самый настоящий	2	3
нас выше	3	2
в том	20	21
символа мы	3	2
символа от	2	2
но в	8	12
под него	2	4
является символом	6	3
в понятии	2	2
все равно	3	3
все же	2	6
в частности	2	2
ни было	2	3
и ее	4	3
мы имеем	6	2
натуралистическая копия	2	2
моделью для	2	3
как будто	11	3
что это	2	3
из этого	3	3
так и	10	10
об этом	6	3
его в	2	3
с точки	11	2
в ее	5	4
говорить о	2	3
и в	20	44
вместе с	5	2
в качестве	10	3
здесь не	7	8
является здесь	2	2
другой стороны	6	5
все это	9	5
при этом	6	4
то в	2	3
и с	7	9
и ни	5	3
уже в	4	3
не являются	2	2
да и	5	5
что мы	3	8
в символе	6	13
же и	3	4
что он	8	9
также и	13	16
с тем	4	5
образности и	5	4
первой степени	3	6
в этом	9	17
своим собственным	2	2
и вполне	5	5
на себе	3	3
в мифе	3	3
это есть	3	3
здесь в	5	3
символ и	8	18
для его	2	3
еще не	7	5
в то	4	9
символа и	8	6
что иное	2	4
у пушкина	3	6
как раз	4	8
в сравнении	2	2
в самом	2	3
другими словами	3	6
же деле	2	4
ни только	2	2
в буквальном	3	2
это и	4	7
каждый раз	5	3
математики и	3	2
то и	5	5
во всех	4	2
или иных	3	4
бы быть	2	3
нераздельное целое	5	2
и не	28	35
за пределы	2	5
смысле слова	15	8
в виде	22	6
совсем другое	2	4
даже и	13	16
мы можем	3	6
на самом	5	7
это значит	10	4
идет речь	2	3
при помощи	10	8
совершенно не	3	4
мы только	2	2
и без	6	4
ни на	3	3
не просто	16	23
но и	14	10
в другом	3	2
больше ничего	2	2
тут же	3	4
потому что	15	25
в которой	2	2
что всякий	3	9
тем более	4	3
структурно-семантические категории	7	3
в его	3	9
в той	8	3
